{'短评内容': '首先说一下这个环境卫生问题，一楼开饭店，过道有一股子味儿，住宿环境真心太差了，床单绝对不是一客一换，床上有很多毛发都没收拾。我由于晚上十二多到的，两点熄灯睡觉的，中间居然有那个不明人员来敲门，然后我去找保安，保安却说她们再敲门你就跟她们说报警啊。这个进门有安保啊，不明人员怎么进来的啊。', '短评打分': 1}
{'短评内容': '方便接机', '短评打分': 5}
{'短评内容': '吵的很，不舒服，位置还可以，', '短评打分': 2}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '为了坐飞机方便！只能住在机场附近。', '短评打分': 3}
{'短评内容': '宾馆还行，离机场很近，接送的师傅也很热情，性价比不错。', '短评打分': 5}
{'短评内容': '很差！下次不去订了。都不提前打电话预约去机场。走了才说！', '短评打分': 5}
{'短评内容': '距离机场近，免费接送机服务，客房可以', '短评打分': 5}
{'短评内容': '一个字差', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以，稍微有点凉。', '短评打分': 4}
{'短评内容': '房间设施设备真的特别差 连餐巾纸都没有。要不是赶飞机就不住在那 洗个头连吹风机也要去借 环境实在是受不了', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般，离机场很近', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '这个价格对得起他的设施和地段，送机服务还是很好的！适合要求不高的的差旅人士入住，且离机场近。下次出差还会考虑', '短评打分': 5}
{'短评内容': '把我拉到分店了', '短评打分': 4}
{'短评内容': '房间是新盖的，太冷了。', '短评打分': 3}
{'短评内容': '周边吃饭方便', '短评打分': 4}
{'短评内容': '转机很方便', '短评打分': 4}
{'短评内容': '性价比高，负责接送，不错的酒店', '短评打分': 3}
