{'短评内容': '卫生干净，服务态度好，无线网络快，布草干净，好评', '短评打分': 5}
{'短评内容': '离地铁一公里，为了第二天一早坐上龙华汽车站的车就定的这附近，中规中矩的七天，去汽车站出门不到两百米吧', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很满意哦！前台服务很棒，酒店的设施齐全，布草干净整洁，WIFI速度快。安全性很高', '短评打分': 5}
{'短评内容': '服务员态度好，地理位置也可以，卫生干净，WIFI', '短评打分': 5}
{'短评内容': '位置便利，服务员很好，很热心，就是靠近KTV，晚上会有点吵。', '短评打分': 5}
{'短评内容': '位置便利，但是楼下是KTV，晚上可能会有点吵，前台服务员真的是很贴心，很棒。', '短评打分': 5}
{'短评内容': '跟小旅馆有区别？', '短评打分': 5}
{'短评内容': '下面是KTv噪音有点大', '短评打分': 3}
{'短评内容': '挺满意的！房间没什么味道！睡的也挺舒服', '短评打分': 5}
{'短评内容': '66666666', '短评打分': 5}
{'短评内容': '66666', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '很不舒服刚刚点下单付完款去不了立刻取消都无法取消！还不给退款！！！！！', '短评打分': 1}
{'短评内容': '111111111111', '短评打分': 5}
{'短评内容': '非常一般，太吵了，服务态度很一般', '短评打分': 1}
{'短评内容': '有史以来最差的一个酒店', '短评打分': 1}
{'短评内容': '房间很舒适，就是每次住的时候都要等被套回来！', '短评打分': 5}
{'短评内容': '房间还可以！就是楼下唱歌的太吵了！前台太啰嗦！', '短评打分': 5}
{'短评内容': '在家就是好了！这么大量防腐剂！这么晚餐厅的', '短评打分': 5}
{'短评内容': '我们都会有些不是我 便是你，我的人都有', '短评打分': 5}
{'短评内容': '我们都会有些不是我 便是你，我的人都有一个', '短评打分': 5}
{'短评内容': '我们都会有些不是我 便是你，我的人都有一个人', '短评打分': 5}
{'短评内容': '我的心都碎了', '短评打分': 5}
{'短评内容': '一直都住七天！不错很舒适！主要每天还不牛奶领哦！', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '住的很好，干净，舒适，实惠！！', '短评打分': 5}
{'短评内容': '垃圾。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '住了好多次的7天了，还是不错的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '距离地铁站还要走一段距离，楼下是个KTV，不过房间内还是挺安静的，没什么影响。楼下又吃饭的地方。卫生间挺小，不是很方便。', '短评打分': 5}
{'短评内容': '毕竟快捷，一般', '短评打分': 3}
{'短评内容': '壁虎蚊虫出没……', '短评打分': 3}
{'短评内容': '相对周边的酒店宾馆。七天连锁还是值得入住。', '短评打分': 4}
{'短评内容': '有只很大的蟑螂！除此其他都挺好', '短评打分': 3}
