{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '干净，周边热闹，交通方便，离景点近。不错的选择', '短评打分': 5}
{'短评内容': '酒店位置挺便利的，这里餐厅的东西味道都挺好，便宜又份量超足！服务员态度超赞！就是房间有点陈旧，床罩枕套看起来不太干净！总的来说还是物有所值。值得推荐！', '短评打分': 5}
{'短评内容': '位置很好，离火车站很近', '短评打分': 5}
{'短评内容': '酒店位置好，就在地铁站边上，交通方便，酒店是老三星，餐食还好，卫生服务都好，总体还是不错，价格不高，设施有点老，服务不错。', '短评打分': 5}
{'短评内容': '交通便利，生活设施齐全，一楼食堂提供送餐服务，很方便。', '短评打分': 5}
{'短评内容': '卫生间不咋地，洗澡的地方还留有一条内裤应该是前一位顾客的。感觉非常不干净。', '短评打分': 4}
{'短评内容': '酒店位置超好，就在地铁口，出行很方便，因为价格摆在这，对房间要求不能太高，还算可以的，旁边就有超市饭店，很方便', '短评打分': 4}
{'短评内容': '酒店位置超好，就在地铁口，出行很方便，因为价格摆在这，对房间要求不能太高，还算可以的，旁边就有超市饭店，很方便', '短评打分': 4}
{'短评内容': '酒店位置超好，就在地铁口，出行很方便，因为价格摆在这，对房间要求不能太高，还算可以的，旁边就有超市饭店，很方便', '短评打分': 4}
{'短评内容': '一般。', '短评打分': 3}
{'短评内容': '性价比超高', '短评打分': 4}
{'短评内容': '交通便利！', '短评打分': 5}
{'短评内容': '前台接待态度很好，房间很干净，刚重新装修的，每次出差都住这里，吃饭，也非常方便，坐地铁公交车出门就是，', '短评打分': 5}
{'短评内容': '酒店服务设施都很好，每次出差都住这里', '短评打分': 5}
{'短评内容': '还好的，朋友之间进行对话很安静。', '短评打分': 5}
{'短评内容': '预订酒店还能积分。京东很给力！', '短评打分': 5}
{'短评内容': '住起来还算舒适。', '短评打分': 3}
{'短评内容': '还可以，离火车站不是很远，门前在修路不好打车，房间设施比较旧但也算干净，一般吧！\n', '短评打分': 5}
{'短评内容': '总体来说还不错的，以后有机会还会继续选这个酒店、', '短评打分': 5}
{'短评内容': '酒店服务人员热情，每次到武昌出差都住这家酒店。房间装修标准，参考老三星酒店。', '短评打分': 5}
{'短评内容': '酒店服务人员热情，每次到武昌出差都住这家酒店。地理位置方便，可以步行到武昌火车站。周围吃饭的地方也比较多。', '短评打分': 5}
{'短评内容': '第二次去住了，总体满意！', '短评打分': 3}
{'短评内容': '还可以，房间大，安静。\n王晓东', '短评打分': 3}
{'短评内容': '每次出差都住那里，位置比较便利，离武昌火车站很近，周围吃饭地方多，超市也比较多，非常方便，酒店房间比较大。值得推荐。', '短评打分': 5}
{'短评内容': '地理位置不错，比较靠近武昌火车站，交通比较方便，另外，房间比较大，适合入住及业务洽谈，网络速度可以接受，早餐还不错。', '短评打分': 5}
{'短评内容': '酒店不错，离武昌火车站近，价格合理，房间大。值得推荐。', '短评打分': 5}
{'短评内容': '酒店房间比较大，环境不错，有餐厅，方便就餐。酒店价格便宜，值得推荐。', '短评打分': 5}
{'短评内容': '2010年武汉第一场雪到的，但酒店的热水太冷了！一点点暖而已', '短评打分': 1}
{'短评内容': '不错，离武昌火车站比较近，房间大，性价比高，周围吃饭的地方也比较多。', '短评打分': 5}
