{'短评内容': '房间明亮，只是地毯陈旧有股味，服务热情，早餐还可以，有停车场，周边环境还不错，出行方便。', '短评打分': 5}
{'短评内容': '早餐不错，房间干净，有停车场，酒店位置也比较理想，价挡合理，以后有机会的话，还来入驻本酒店，服务非常好，捧', '短评打分': 5}
{'短评内容': '连床单都不换，上面还有脏东西，去前台要求更换，她们居然承认没有更换床单，恶心死了', '短评打分': 2}
{'短评内容': '装修有点老', '短评打分': 4}
{'短评内容': '设备太旧了，房间味道刺鼻。', '短评打分': 4}
{'短评内容': '非常不错的一次住宿', '短评打分': 5}
{'短评内容': '还不错，值得推荐！', '短评打分': 5}
{'短评内容': '停车好方便，休息也很安安静的。', '短评打分': 4}
{'短评内容': '还行的，主要是停车很方便的，有个大院。', '短评打分': 4}
{'短评内容': '还可以，位置也好，停车也方便。', '短评打分': 4}
{'短评内容': '酒店比较老旧，硬件设施太差，需要更换', '短评打分': 3}
{'短评内容': '很好，和往常一样，各项都很好，住的舒服。', '短评打分': 3}
{'短评内容': '不评价', '短评打分': 2}
{'短评内容': '还行，和往常一样，价格也下来，我很满意。', '短评打分': 3}
{'短评内容': '地点比较偏，停车方便，装修比较老！', '短评打分': 4}
