{'短评内容': '中央空调怎么整都不热，还好有电热毯，呵呵呵呵，', '短评打分': 4}
{'短评内容': '东北十一月，没空调，电热毯，这样没见过，', '短评打分': 4}
{'短评内容': '所有的都满分，对于这个价格，但是前提你不怕冷，与中央空调斗了两个小时，前台电话也打了，就是不热，别的都满意，还准备了电热毯，我个人怀疑，是本身知道空调不热，才准备的，很奇葩，', '短评打分': 4}
{'短评内容': '家人满意', '短评打分': 5}
{'短评内容': '很好，住的舒服，商业街附近吃饭也方便', '短评打分': 5}
{'短评内容': 'ilylmy 太棒啦', '短评打分': 5}
{'短评内容': '酒店位置很好，前台服务热情，床垫不舒服。', '短评打分': 5}
{'短评内容': '1.屋子很大不错。2.外边太吵，不过位置在这，没办法。3.对面停车位有老头老太太恶意收费并且主动要碰瓷，给钱就放行，不给钱要不碰瓷要不拦车，什么手续都没有自己霸占停车场收费，文革遗风的老年人真是无语。', '短评打分': 4}
{'短评内容': '房间性价比高，服务态度好', '短评打分': 5}
{'短评内容': '暖气不足，有点冷！其它的都不错！', '短评打分': 4}
{'短评内容': '连续一周住在这里 下次还住', '短评打分': 3}
{'短评内容': '房间挺大的，就是暖气不好，有点冷', '短评打分': 5}
{'短评内容': '房间面积比较大，但设施查陈旧，电梯少，上下楼不方便', '短评打分': 3}
{'短评内容': '房间通透，卫生清洁，值得推荐', '短评打分': 3}
{'短评内容': '虽然酒店门脸儿不太大，但是环境很干净！虽然离海边儿有点儿远，但是交通很便利！下次有机会去鲅鱼圈，还会选择这家酒店的！', '短评打分': 5}
{'短评内容': '还不错，房间好找，楼下有人看车，房间大，干净，周围吃东西方便', '短评打分': 3}
{'短评内容': '位置好，环境也不错，紧临海鲜市场，买什么都很方便。', '短评打分': 5}
{'短评内容': '干净，服务态度好。附近市场方便，但周边环境卫生差强人意，离海边较远。', '短评打分': 5}
{'短评内容': '酒店地点很好！楼下就是夜市！酒店附近就是商业区！购物很方便！', '短评打分': 5}
{'短评内容': '不错的酒店 很干净 住的很舒服 早餐样式不多 但是真的很好吃 没吃够  但是服务态度真的不敢恭维  吧台的人说话都很冲 一个个都像大爷一样', '短评打分': 5}
{'短评内容': '酒店位置很好，干净，安静，虽然楼下就是夜市，但在楼上一点也不觉得吵，真的很好，下回还会来', '短评打分': 3}
{'短评内容': '卫生环境和位置都不错，推荐，只是周围环境差强人意', '短评打分': 5}
{'短评内容': '环境服务各方面都不错，交通又特别方便。所以又多住了一天。给好评。。', '短评打分': 5}
{'短评内容': '环境很好，服务员的态度非常热情。早餐也非常好吃。嗯。值得一去。', '短评打分': 5}
{'短评内容': '.挺好的交通方便!环境挺好的.就是里面自主消费的东西太多了', '短评打分': 3}
{'短评内容': '屋子有点潮，电脑还不好使，耳机一个有声一个没有。网速比较慢', '短评打分': 1}
{'短评内容': '酒店环境还可以！但6月5日早班的两名前台接待服务态度不好！', '短评打分': 3}
{'短评内容': '挺好的~  价格环境都还可以。 就是当时找它时有点费劲。', '短评打分': 5}
{'短评内容': '近期去了几次鲅鱼圈基本都住在这家酒店，地点和环境都不错，再去几次，估计前台的小朋友都要熟悉了', '短评打分': 5}
{'短评内容': '性价比不错，特别是早餐，在地下一层，虽然环境一般但是他们自己烙的饼，发面饼超级好吃，现在还流口水。', '短评打分': 5}
{'短评内容': '非常满意 环境很好 服务也很热情。', '短评打分': 3}
{'短评内容': '还可以，服务不错，房间条件也很好，只是前台不可以刷卡，房间里的宽带网线太短', '短评打分': 3}
{'短评内容': '看只有几个评论当时心里还忐忑，但是到了房间就放心了，感觉卫生环境和位置都不错，推荐，只是周围环境差强人意，可能是我要求太高了吧，差点忘了说说前台服务员，邻家小妹般的热情，值得称赞', '短评打分': 5}
{'短评内容': '看只有几个评论当时心里还忐忑，但是到了房间就放心了，感觉卫生环境和位置都不错，推荐，只是周围环境差强人意，可能是我要求太高了吧', '短评打分': 5}
{'短评内容': '房间格局不错，交通便利，尤其是服务人员态度特好！下次还要入住这里', '短评打分': 5}
{'短评内容': '新开的一个酒店，环境挺好，比较干净，房间空间很大，价格也合适', '短评打分': 5}
{'短评内容': '地处繁华地段虽略显嘈杂但出行吃饭等都很方便；\n设备较新，卫生好，套间价格比较超值。', '短评打分': 5}
{'短评内容': '地处繁华地段，虽显嘈杂但出行和吃饭都比较方便；\n设备新，卫生好，套间价格比较超值。', '短评打分': 5}
