{'短评内容': '和照片上的差距太大', '短评打分': 1}
{'短评内容': '不提供早餐，周边环境还是可以的方便购物，有些太贵房子挺大的，被单也蛮干净，他们家空调有些问题，房间物品齐全。', '短评打分': 5}
{'短评内容': '差劲，太差劲，特价房尽然放的图片和实际房间不符，说的18平，结果一看房间10平都不到，又小又味儿！结果我又换的大房间！隔音差，卫生差，有史以来住的最差劲的一次酒店！', '短评打分': 1}
{'短评内容': '孩子高考提前半个月订房，入住时告知前台要向里安静的房间，前台答应的很好没想到却口是心非表里不一我行我素，进房间一看，却是个临街角处的房间，并且阳台有两个空调室外机嗡嗡叫，看来郑州真是地邪出邪人呀', '短评打分': 4}
{'短评内容': '性价比不高，设施老，卫生不太干净', '短评打分': 2}
{'短评内容': '除了位置有优势没有其他优点，卫生间有一股怎么也散不掉的味道，睡觉都能闻到一阵一阵的怪味，设施也陈旧，以后绝对不会再住这驿栈！不喜欢，非常不喜欢！', '短评打分': 3}
{'短评内容': '房间太小太旧了', '短评打分': 1}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不考虑位置因素的话，肯定不选这儿。', '短评打分': 2}
{'短评内容': '正在重新装修施工，住宿影响大，同时房间隔音效果相当差，不是实体墙。', '短评打分': 3}
{'短评内容': '已经休息，位置不错！', '短评打分': 3}
{'短评内容': '位置离火车站较近，图方便可以。', '短评打分': 4}
{'短评内容': '123123123123123123112', '短评打分': 5}
{'短评内容': '酒店不错，交通非常方便，就在火车站旁边。客房保洁员服务非常好，非常仔细，房间很宽敞，就是床稍微有点儿硬。', '短评打分': 3}
{'短评内容': '厕所不怎么好。。空间也不太大。还是比较暖喝的。服务员态度还算好吧，不过有一个不怎么样。', '短评打分': 1}
{'短评内容': '条件一般。', '短评打分': 3}
