{'短评内容': '位置好，方便出行舒适干净服务热情。', '短评打分': 5}
{'短评内容': '位置好，方便出差旅游干净舒适服务热情。', '短评打分': 5}
{'短评内容': '没停车场，马桶还是堵的。', '短评打分': 4}
{'短评内容': '房间暖和，服务周到，内饰精美', '短评打分': 5}
{'短评内容': '开始开了二楼的，结果房卡插卡的位置有点接触不良，经常没电，后来给我换了三楼的房间，位置不错，周边什么都有', '短评打分': 4}
{'短评内容': '服务特别周到 好评', '短评打分': 4}
{'短评内容': '还可以吧，位置不错', '短评打分': 4}
{'短评内容': '卫生干净其他的在我看来不重要', '短评打分': 5}
{'短评内容': '很棒，服务态度好', '短评打分': 5}
{'短评内容': '很好，哪方面都不错', '短评打分': 5}
{'短评内容': '房间有点小，厕所太简陋', '短评打分': 5}
{'短评内容': '干净好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '位置好，服务态度好', '短评打分': 5}
{'短评内容': '位置好，服务态度好', '短评打分': 5}
{'短评内容': '酒店非常好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '环境还行，就是同价格的房型小了点', '短评打分': 4}
{'短评内容': '酒店位置很好，就在商业街', '短评打分': 3}
{'短评内容': '环境好，价格优惠，离步行街近，方便转街', '短评打分': 5}
{'短评内容': '比官网订要便宜，挺好', '短评打分': 5}
{'短评内容': '2楼窗户全部加了防盗的板子，相当于没窗户，让前台给换到4楼了。其他的平均水平吧。', '短评打分': 4}
{'短评内容': '说的20平米，结果住着很小，不给力。爸妈自己在其他地方200多点住的好很多，。', '短评打分': 2}
{'短评内容': '酒店位于银川市中心 位置还行。街对面有立体停车场', '短评打分': 5}
