{'短评内容': '半夜过去的，本来想睡个好觉的，谁知道下午一点半都在崔退房', '短评打分': 5}
{'短评内容': '房间没有异味，住着很舒适', '短评打分': 5}
{'短评内容': '周边吃饭不太方便。离火车站步行15分钟。房间比较小。', '短评打分': 4}
{'短评内容': '干净整洁，房间宽敞，毛巾浴巾都像新的一样。', '短评打分': 5}
{'短评内容': '住过很多次了，不多说了吧！', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店离火车站很近，旁边那条巷子里很多吃的，有超市，有市场，门口就是停车场，环境不错，也很方便，棒棒的。', '短评打分': 5}
{'短评内容': '环境不错，卫生也干净', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，挺喜欢的', '短评打分': 5}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '距离火车站近，但是又没有火车站附近宾馆的嘈杂。去办事的地方门口就有公交，剩下很多打车钱，去万达也就五块钱打车钱', '短评打分': 5}
{'短评内容': '不错，。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置好，离火车站较近。房间不错，服务也很好，价格实惠，值得一住。', '短评打分': 5}
{'短评内容': '还行吧，离火车站比较近。', '短评打分': 3}
{'短评内容': '房间不错，有点星级酒店的感觉！特别是床很舒服，很大！还送了茶叶和咖啡！', '短评打分': 5}
{'短评内容': '一直住这里', '短评打分': 5}
{'短评内容': '整体还不错..........', '短评打分': 3}
{'短评内容': '早餐太差，居然是到隔壁超市內的小吃店里吃，第二天也没有送早餐劵', '短评打分': 5}
{'短评内容': '房间可以。。推荐。。离火车站近。。步行十分钟吧。。就是出于闹市区。。白天出行不太方便。。门口堵车。。', '短评打分': 5}
