{'短评内容': '&hellip;&hellip;', '短评打分': 1}
{'短评内容': '各种差，就是骗钱的', '短评打分': 3}
{'短评内容': '我住的这个房间促使我只想整夜待在外面。', '短评打分': 2}
{'短评内容': '除了老板服务态度、交通便捷、饮食方便外其他不太好', '短评打分': 4}
{'短评内容': '  挺好的   房主挺亲切', '短评打分': 4}
{'短评内容': '不行', '短评打分': 2}
{'短评内容': '由于没有赶上去北京的火车，当晚没有入住，和酒店提前联系退订，酒店不允许退订，白白花了一个晚上的住宿钱。建议此商家以后做事情能人性点，厚道些。', '短评打分': 1}
{'短评内容': '老板人不错，本来定了三天，但是住不习惯，卫生差了点就退房了，老板二话没说就给退了', '短评打分': 2}
{'短评内容': '洗手间条件一般', '短评打分': 5}
{'短评内容': '价格很公道', '短评打分': 5}
{'短评内容': '性价比高，我们在附近找了好些住宿，都贵，有个附一楼阴暗的住宿都要200，最后在网上订的这家，惊喜啊！离地铁站好近出行方便，就是硬件设施如带它评价，不很理想。但通风采光房间大小网速都对得起这价位。呵呵，北京的住宿就是一个字，贵啊', '短评打分': 4}
{'短评内容': '硬件差点，价格实惠，隔音不好', '短评打分': 3}
{'短评内容': '太差，卫生差，太脏，服务很差，窗户锁不上，卫生间马桶水箱没有盖子，地面太脏，现在想起来都恶心！', '短评打分': 1}
{'短评内容': '一切都差，太脏了。空调不开、冻死了.', '短评打分': 1}
{'短评内容': '无语', '短评打分': 1}
{'短评内容': '真心觉得被骗；什么破地方啊，跟县城那种好一点的旅店都没办法；还死啦贵；不推荐入住；比那些连锁的差太远了', '短评打分': 3}
