{'短评内容': '7天在好广州实在是差', '短评打分': 1}
{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', '短评打分': 5}
{'短评内容': '附近办事，性价比可以。', '短评打分': 3}
{'短评内容': '附近没有太多选择，性价比还可以吧。', '短评打分': 3}
{'短评内容': '什么都是烂的。连个门也烂。', '短评打分': 1}
{'短评内容': '帮朋友订的，不知道', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '房间有异味，到晚上了隔壁夜总会的音响吵得你睡不着，白天隔壁又有幼儿园的声音传来，洗手间的消毒毛巾打开居然有3-4根头发？5楼Wi-Fi都连不上，差评！', '短评打分': 2}
{'短评内容': '帮亲戚订的，进去以后床都没铺，就俩个席梦思垫，后来有工作人员马上铺了，还拿了几瓶矿泉水表示歉意。也就这样了，和价格匹配。', '短评打分': 3}
{'短评内容': '房间价格很实惠，房间卫生很干净。', '短评打分': 4}
{'短评内容': '位于武广高铁边上，但不见得很吵！', '短评打分': 4}
{'短评内容': '喜欢安静的人注意了，旁边就是是轰趴，轰轰的重音乐会把你真干趴下的，而且是一直轰到凌晨一两点。', '短评打分': 3}
{'短评内容': '住房太吵了，就一夜的听迪士哥', '短评打分': 2}
{'短评内容': '睡觉还行1234567890987', '短评打分': 5}
{'短评内容': '还好吧，不好的就是旁边是ktv，有点吵', '短评打分': 4}
