{'descr': '价格挺好的，经常住这家', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '满意满意满意满意满意', 'star': 5}
{'descr': '环境干净整洁很好的', 'star': 5}
{'descr': '五一买的，都涨价了 就京东最划算了 值得信赖 一个充满回忆的五一', 'star': 5}
{'descr': '环境舒适很通风阳光充足非常满意', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '绝对是我住过得性价比最高，环境设施各方面最好的快捷酒店哈哈哈。住了绝对不会后悔的', 'star': 5}
{'descr': '还不错，位置挺好，房间挺大！', 'star': 5}
{'descr': '挺好的酒店', 'star': 5}
{'descr': '酒店不错性价比高交通便利', 'star': 5}
{'descr': '还可以，位置不错，感觉是个步行街附近，酒店闹中取静吧', 'star': 3}
{'descr': '不错的酒店', 'star': 5}
{'descr': '就是酒店设施比较老旧', 'star': 4}
{'descr': '很干净，很好哦', 'star': 5}
{'descr': '每年去蓟县滑雪必住的酒店，非常好', 'star': 5}
{'descr': '前台服务态度太差，房间里没有吹风机，其他的还行', 'star': 3}
{'descr': '很不错，推荐', 'star': 5}
{'descr': '住的时候正在装修中。', 'star': 5}
{'descr': '面积很大，环境优雅，就是没有饮用水', 'star': 5}
{'descr': ' Good', 'star': 3}
{'descr': '不错的酒店，很干净，房间很大，就是酒店位置不好找', 'star': 5}
{'descr': '酒店位于县城中心，步行到独乐寺约8分钟；周围环境略显脏乱，但内部装修尚好，只是略显陈旧；酒店自有停车场，虽较简陋，但停车还是比较方便；价格比同等级的汉庭和格林豪泰都略高，可能是因为地点比这两家都好。酒店旁边有条烧烤一条街，喜欢烧烤的朋友可以吃个过瘾，不过个人认为价钱并不便宜。', 'star': 4}
{'descr': '酒店房间大，干净，服务周到，卫生间水不太热，有点冷有暖风就更好了。', 'star': 3}
{'descr': '新开业的酒店，挺不错的，房间够大，电视也很好，配的是高清的机顶盒，台很多。就是早餐品种不多，有待改进。', 'star': 5}
