{'短评内容': '离客运站很近，楼下是KTV有点吵', '短评打分': 4}
{'短评内容': '房间居住环境不错，服务到位，点个赞', '短评打分': 5}
{'短评内容': '就是卫生间小', '短评打分': 5}
{'短评内容': '这样的价钱能订到这样好的酒店算不错了。最抵赞的是卫生做得较好，热水供应十分充足，随开随有，装修也可以，性价比高，真的不错！', '短评打分': 4}
{'短评内容': '住9楼，WiFi信号差到极点！连到了上不了网。', '短评打分': 4}
{'短评内容': '一般较好', '短评打分': 5}
{'短评内容': '服务过得去，只是下面歌厅有点小吵，房间一般，还过得去，价格合理', '短评打分': 3}
{'短评内容': '房间设施可以，就是傍边夜总会响。', '短评打分': 4}
{'短评内容': '环境还好服务也好卫生不错', '短评打分': 4}
{'短评内容': '每次回清远都会住这家酒店，位置好，服务好！', '短评打分': 5}
{'短评内容': '帮朋友订的。很好，推荐。', '短评打分': 3}
{'短评内容': '不错，很好，交通方便，吃饭也方便。房间很大很干净，值得推荐。', '短评打分': 3}
{'短评内容': '交通便利 卫生不错 服务周到 性价比高', '短评打分': 3}
{'短评内容': '交通便利，县城中心，环境好，离汽车站很近，旁边还有加油站！方面汽车加油！', '短评打分': 3}
{'短评内容': '还可以，说的过去。满意', '短评打分': 3}
