{'短评内容': '关于这个酒店我有以下几点要吐槽。1.昨晚刚刚在携程上定了房，酒店打电话过来说这个房型没有了，并且说明我定的是88的房间，可是我在携程上付费93元，我不能理解为什么携程在酒店的门市价基础上抬价。然后我补交了20元入住了，这也没什么。2.前台一开始开卡开错了，亲自上来帮我们换了卡，服务挺不错的。可是当我打开房间，检查床单，床单上竟然还有多处黑色印记。我立刻通知前台，前台也给我做了换房处理，处理事情速度', '短评打分': 3}
{'短评内容': '总体可以的', '短评打分': 5}
{'短评内容': '很干净 很卫生 服务很好！', '短评打分': 5}
{'短评内容': '干净，有情调。', '短评打分': 5}
{'短评内容': '感觉床单被子看着有点发黄发黑 其他都还好', '短评打分': 4}
{'短评内容': '超级无敌差。定个宾馆还没房间。很差', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '蛮不错的，比较有情调。但相对价格比较高。', '短评打分': 4}
{'短评内容': '酒店不错！很舒服，干净！', '短评打分': 5}
{'短评内容': '定的豪华浴缸房，可浴缸是坏的……拎了一个大行李箱，宾馆却没电梯，这是关键，房间卫生也没打扫干净，下次不会再住了', '短评打分': 2}
{'短评内容': '酒店比较干净，就是房间比较迷你，还没电梯，另外就是房价比较郁闷，同样的房型直接去店里比在网上便宜22元', '短评打分': 4}
{'短评内容': '一般化，，，，，，，，，', '短评打分': 3}
{'短评内容': '环境还好，但是有的房间没有窗户，而且隔音不好', '短评打分': 3}
{'短评内容': '一般，毕竟价格在那里，房间有点味道', '短评打分': 3}
{'短评内容': '房间布置得很漂亮，周边美食少了点。总体还不错', '短评打分': 3}
