{'短评内容': '环境和服务都挺好的，就是收拾房间声音太大，早晨容易被吵醒', '短评打分': 3}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '很舒适。。', '短评打分': 5}
{'短评内容': '位置很完美，环境跟服务质量也很好，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错，值得推荐，跟朋友一起去的，在大观园内，周围有很多小吃，晚上可以出来转转，环境也不错，下次还可以去', '短评打分': 5}
{'短评内容': '跟原先的瑞庭比较确实改善了不少，不过这个价格算不错了', '短评打分': 4}
{'短评内容': '房间很干净，床单被罩都很干净，前台服务也很好！', '短评打分': 4}
{'短评内容': '很好，环境不错，服务人员态度也好', '短评打分': 5}
{'短评内容': '地理位置好 如家高端不错', '短评打分': 5}
{'短评内容': '很不错，喜欢这里', '短评打分': 5}
{'短评内容': '房间很不错，地理位置也很好', '短评打分': 5}
{'短评内容': '房间倒挺干净，就是网络不行，连续住两次都没网络。', '短评打分': 3}
{'短评内容': '酒店还不错就是艺龙反的乱七八糟', '短评打分': 3}
{'短评内容': '你都觉得见不到不行不行补习补习', '短评打分': 3}
{'短评内容': '位置还好，8楼视线不错，但是所在位置因为是黄岛老城区银行杰附近，楼下人比较多不太干净', '短评打分': 3}
{'短评内容': '确实不错，价格实惠房间干净卫生，比锦江之星什么的好多了', '短评打分': 5}
{'短评内容': '床还行，网速很快，淋浴较小，厕所纸都没有，', '短评打分': 1}
{'短评内容': '位于黄岛金融街，周围生活设施很方便，适合出差，酒店的床很舒服，很软，我很喜欢！！推荐一下，酒店式利群管理集团的，相对其他的商务酒店来说，还是很不错的，往往细微的地方体现酒店的质量，我是觉得该酒店的床很舒服，房间空间也很大', '短评打分': 5}
{'短评内容': '酒店性价比高，位于繁华地段，购物出行方便', '短评打分': 5}
{'短评内容': '位置很好。服务态度也很好。房间很干净。挺满意的。', '短评打分': 3}
{'短评内容': '从酒店到高铁火车站或者机场怎么坐车？比较担心交通不方便。', '短评打分': 5}
{'短评内容': '恩~很不错~性价比很高~', '短评打分': 3}
{'短评内容': '酒店挺不错，前台服务很好。早餐挺好。床很舒服。洗澡间空间有点小，一不小心就碰头。\n', '短评打分': 5}
{'短评内容': '还不错，床比较舒服，虽然建筑看起来旧一点，但是服务员素质很好。', '短评打分': 5}
{'短评内容': '房间还行，早餐欠佳，周围环境不错，前台服务人员很好。性价比相对较高', '短评打分': 5}
{'短评内容': '非常棒，感觉房间内设施齐备，条件也不错，给人很温馨的感觉。', '短评打分': 5}
{'短评内容': '酒店的位置比较好，靠近海边，楼前只有两层小楼，可以清楚看见码头和海。\n服务态度极好，服务员会帮你按电梯的。\n就是酒店的房间家具比较陈旧\n如果不是在夏季去的话，海景房晚上是很冷的，酒店的空调4月份就停了', '短评打分': 5}
{'短评内容': '床比较舒服，环境还不错，就是房间的遥控器不怎么好用，而且早餐真的挺差的！', '短评打分': 5}
{'短评内容': '酒店环境较好，是一家不错的酒店,缺点是位置不是很好找。                ', '短评打分': 5}
{'短评内容': '房间很有特色，很温馨的感觉，设施都很新，唯一美中不足的是一大清早别的客人退房有点吵。', '短评打分': 5}
