{'短评内容': '待人预定 ', '短评打分': 4}
{'短评内容': '太久没看点评，所以玩在才点评，各方面都还好，家人也比较高兴', '短评打分': 3}
{'短评内容': '老板和服务小哥人很好，很亲切，老板家的牧牧乖乖哒', '短评打分': 5}
{'短评内容': '环境跟地理位置很好，就是太冷了，没空调冻成狗了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很好。超级喜欢。价格合理。在古城区里。闹中取静。', '短评打分': 5}
{'短评内容': '还好！', '短评打分': 4}
{'短评内容': '总体还好！就是我住的房间有股霉味！', '短评打分': 4}
{'短评内容': '客栈是在古镇里，卫生不错。很喜欢那只狗，名字叫牧羊犬 叫牧牧。老板人不错。', '短评打分': 5}
{'短评内容': '客栈前台不错  老板人很好', '短评打分': 5}
{'短评内容': '环境还不错，不过店长太抠门，入住时还要多交60元，之前也没有说明，感觉被坑，而且推荐我们去旅游的路线也被宰了，不过想想，旅游哪有不被宰呀', '短评打分': 1}
{'短评内容': '我们入住的时候客栈附近在铺路，所以白天叮叮当当的比较吵，但路总会铺完的，晚上和清晨都很安静。老板很好很热情。', '短评打分': 5}
{'短评内容': '很有特色的客栈，老板及老板娘都很热情，客栈的小伙计很卖力的到路口帮我们提行李，他们家的那条大狗也蛮可爱的', '短评打分': 5}
{'短评内容': '在丽江古城找了很多间客栈，最终还是选择了人和春天客栈，环境真的很好，房间也很干净，服务热情，还有三只可爱的狗狗', '短评打分': 5}
{'短评内容': '在丽江古城找了很多间客栈，最终还是选择了人和春天客栈，环境真的很好，房间也很干净，服务热情，值得入住', '短评打分': 5}
{'短评内容': '在丽江古城找了很多间客栈，最终还是选择了人和春天客栈，环境真的很好，房间也很干净，服务热情，值得入住。', '短评打分': 5}
{'短评内容': ' 有家的感觉。舒适又随意。如沐春风。客栈基础设施也还不错。三只狗狗每天都会上演故事呵呵。下次来丽江还会住这！', '短评打分': 3}
{'短评内容': ':好', '短评打分': 3}
{'短评内容': '客栈有山有水有小院,很别致也很温馨,给我感觉还不错,位置还可以.出行方便.距离四方街有段距离,不过沿途看看丽江景致也不错.', '短评打分': 5}
{'短评内容': '第一次感受客栈住宿，服务不错，老板知无不言，省了很多事情，硬件条件和酒店有点差距，但值得推荐。', '短评打分': 5}
{'短评内容': '客栈位于古城南边，风景很好，也很安静，客栈里也很干净很温馨，这次住的还是很舒适的。', '短评打分': 5}
{'短评内容': '客栈的位置不错，到四方街很近，交通也比较便利。', '短评打分': 5}
{'短评内容': '酒店还不错，性价比很好，房间简洁大方，周边环境没的说，住的还比较满意。', '短评打分': 5}
{'短评内容': '小院布置的挺温馨的，服务也很热情，休息时，喝喝茶，晒晒太阳，感觉很爽。', '短评打分': 5}
{'短评内容': '价格偏高，其他都蛮好的。', '短评打分': 5}
{'短评内容': '环境不错其他的就一般价格是挺便宜的，位置还是挺好找的，态度还是挺好的。', '短评打分': 1}
{'短评内容': '地理位置很好，周边景色很美，而且很安静，客栈里面的卫生也很干净。住的很舒适的。', '短评打分': 5}
{'短评内容': '环境很好，服务也很周到，老板一家人很热情的，价格也比较合适，就是设施一般了点。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，挺干净的，有种住家里的感觉，挺舒适的。', '短评打分': 5}
{'短评内容': '房间打扫的很干净，设施一般点，价格还算比较公道。整体感觉还不错。', '短评打分': 5}
{'短评内容': '客栈位于古城里边，环境很好，住的很舒适，价格也不算贵。', '短评打分': 5}
