{'短评内容': '地处位置还不错', '短评打分': 5}
{'短评内容': '没得热水。没得热水。真的美滋滋。我还是第二次住没有热水的宾馆，第一次四十多，美滋滋哦', '短评打分': 3}
{'短评内容': '价格合适，挺实惠的', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '性价比一般', '短评打分': 5}
{'短评内容': '位置好找，交通方便，门口有停车位，房间大小适中，卫生干净，价钱合理。整得来说，性价比挺高的，网上团购方便', '短评打分': 5}
{'短评内容': '整体可以', '短评打分': 5}
{'短评内容': '停车不方便，其他还行', '短评打分': 5}
{'短评内容': '还可以，还行', '短评打分': 5}
{'短评内容': '很好 主要还是停车不方便', '短评打分': 5}
{'短评内容': '卫生间不靠谱，不喜欢，空调坏的', '短评打分': 3}
{'短评内容': '太差了，不值', '短评打分': 4}
{'短评内容': '还行还行，就是价格怎么突然贵了十多块', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店位置不错，楼下可以吃饭，车停路边，价格不贵，只是晚上有点吵', '短评打分': 3}
