{'短评内容': '可以。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比较满意，位置方便', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '挺好的、就是打不到车', '短评打分': 5}
{'短评内容': '很适合商务出行', '短评打分': 4}
{'短评内容': '很适合商务出行', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通便利是最大的优点，到国贸附近出差住住还不错', '短评打分': 4}
{'短评内容': '尚算可以', '短评打分': 3}
{'短评内容': '尚算可以', '短评打分': 3}
{'短评内容': '尚算可以', '短评打分': 3}
{'短评内容': '尚算可以', '短评打分': 3}
{'短评内容': '一自己没入住过，代人预定。', '短评打分': 5}
{'短评内容': '已经住过几次了，位置方便。', '短评打分': 3}
{'短评内容': '第二次入住了。非常好。地理位置好，而且服务态度很好，下次有机会还会再来的。推荐！', '短评打分': 5}
{'短评内容': '地理位置好， 但房间设施有点旧， 床有点硬', '短评打分': 5}
{'短评内容': '地点不错，服务还行。设施有点旧，总体还行。', '短评打分': 5}
{'短评内容': '国贸附近很不错的酒店，环境舒适，性价比较高!强烈推荐哦！', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，唯一问题就是能清晰听到过道的人说话的声音。', '短评打分': 5}
{'短评内容': '酒店位置不错  周围很方便 交通方便 挺好的', '短评打分': 5}
{'短评内容': '地理位置好，性价比高，服务态度也不错，下次会推荐入住。', '短评打分': 5}
{'短评内容': '酒店除了位置好之外，其他都一般。第一天住的房间在阴面，不知道是空调坏了还是什么原因，特别冷，洗浴的喷淋出水很小，不好用。第二天换了个阳面的房间，虽然不冷了，但外面的噪声挺大，影响休息。\n还有一点，就是预定的房间不含早餐，前台说可以加早餐，价格是70元/位，但是第二天去餐厅就餐的时候，却要98元/位，其解释是如果在前台预定才是70元，但是前台当时也没有说直接去餐厅会有不同的价格，不好争辩什么，但有被', '短评打分': 1}
{'短评内容': '酒店性价比不错，离地铁口近，只是设施稍旧', '短评打分': 3}
{'短评内容': '离公司比较近。就是房价贵了点。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '前台服务极差，态度像死了爹！！！不知还有何脸面称之为星级酒店！房间冷，马桶堵，床垫硬，冰柜里冰盒的水都特臭，颜色都变成深褐色了。仅供大家参考吧，反正我是不会再住了。', '短评打分': 1}
{'短评内容': '国贸CBD高性价比酒店，出门很方便，早餐一般。', '短评打分': 5}
{'短评内容': '环境很好，就是价格有点贵，不过看看地理位置，也值了', '短评打分': 5}
{'短评内容': '不错的酒店，服务很好，地段很好，交通便利', '短评打分': 5}
{'短评内容': '酒店位置很理想，感觉很方便，环境很好，服务好，很满意', '短评打分': 5}
{'短评内容': '地理位置好，服务也不错！必须20字啊必须20字啊!', '短评打分': 5}
{'短评内容': '总的来说还挺不错的，设施方面都挺好的，交通也比较方便，楼下快餐店也比较多。就是价格贵了点，不过北京嘛，估计都一样', '短评打分': 5}
{'短评内容': '卫生，服务都蛮不错的，下次一定还入住的。', '短评打分': 5}
{'短评内容': '还可以，地点交通很方便，布置比较有特色吧', '短评打分': 5}
{'短评内容': '服务不错。室内温度太高了，窗户打不开，打电话叫服务员，很快就过来帮忙', '短评打分': 5}
{'短评内容': '老的酒店了，装修已经不和时宜了。网络超慢！好在服务还是可以。觉得四星还是有点达不到。或许是我要求高了。', '短评打分': 5}
{'短评内容': '酒店较新、交通方便，性价比不错。', '短评打分': 3}
{'短评内容': '服务态度很好，办理手续还算快，房间地毯有点脏。', '短评打分': 5}
