{'短评内容': '没有吹风机', '短评打分': 4}
{'短评内容': '可以，房间大，就是我住那个房间电视看不了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境很好，适合朋友出行，最好多住几天，能一起买菜做菜，事实证明有洗衣机真的是个好东西。', '短评打分': 5}
{'短评内容': '还行吧，卫生也可以，就是有点吵。', '短评打分': 5}
{'短评内容': '条件一般，地毯沙发茶几都不太干净，因为赶飞机选了这里，出租车到机场十几分钟还算方便', '短评打分': 4}
{'短评内容': '酒店周围环境不错，楼下商业繁荣，特别是美食众多，有哈串串、线条馆等，送餐服务也很到位。房间设施齐全，干净整洁，安静温馨。推荐入住！', '短评打分': 5}
{'短评内容': '前次入住感觉良好，到期后就续住。房间空调性能优越，凉爽，干净，舒适，犹如世外桃源！交通便利，外出回来出租车司机都知道这个酒店。推荐入住！', '短评打分': 5}
{'短评内容': '酒店周围环境很好，交通便利。房间干净，舒适，安静，服务员态度热情主动。入住时正逢奥运，房间电视清晰流畅，犹如现场般体验了女排夺冠的精彩时刻！推荐入住！', '短评打分': 5}
{'短评内容': '房间生活设施齐全，跟在家里一样方便。安静，整洁，舒适，入住时正逢成都烘烤模式天气，感到非常凉爽。楼下小吃众多，送餐服务及时。推荐入住！', '短评打分': 5}
{'短评内容': '卧室有异味，设施简陋，除非你要下厨，有冰箱有煤气', '短评打分': 3}
{'短评内容': '环境很好，很卫生，有家的感觉，很不错，下次还会来。', '短评打分': 3}
{'短评内容': '入住太一般了，搬家', '短评打分': 2}
{'短评内容': '酒店周边环境不错，吃的用的都很方便，房间内洗衣机小冰箱保险柜都有，设施齐全，可惜我只是住一晚，什么都没用上', '短评打分': 5}
{'短评内容': '环境不错，适合家庭入住', '短评打分': 4}
{'短评内容': '假发票。。。服务太差了。。。。假发票。。。服务太差了。。。。假发票。。。服务太差了。。。。假发票。。。服务太差了。。。。', '短评打分': 1}
{'短评内容': '这种面对行政客户的中档服务式公寓我是第一次入住，对他们机场免费接送、延时客房政策、无线上网等针对行政客户需求的一些做法感觉不错，这个价位的套房应该说性价比是可以的。\n有些没想到的是床上用品和浴巾、睡衣、拖鞋的品质挺棒，颇有些五星酒店的感觉，配置的小保险柜、体重秤、应急手电、小冰箱等东东，也感觉往五星的配置有些靠。\n有些遗憾的是成都上下班高峰期打车挺困难，到这店的来回路上打车折腾很久。好在他们提供到', '短评打分': 5}
