{'短评内容': '酒店位置不错，我下船后打电话给店家，师傅开车过来接。接待的美女很好说话，很爽快。房间卫生不错，好评！', '短评打分': 5}
{'短评内容': '酒店环境很不错，还可以接送站，好评。', '短评打分': 5}
{'短评内容': '旅店挺好干净    卫生     便宜     海景房     住的舒服   离港口近   交道方使', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '房间很大 很干净', '短评打分': 5}
{'短评内容': '很便利，也如网友评价一样，前台小妹印象很深，榻榻米又大又舒服，来长岛首选，可惜遇到大风航班停运影响了行程，再就是岛上饭很贵啊，可能是岛的通病吧', '短评打分': 5}
{'短评内容': '离客运码头很近，周边环境也很不错，服务人员非常热情。', '短评打分': 4}
{'短评内容': '性价比很高，距离港口客运站很近，很方便', '短评打分': 5}
{'短评内容': '卫生间有味道 ', '短评打分': 4}
{'短评内容': '去旅游入住的。已经是淡季了，人也比较少。所以很安静。紧临马路夜里有施工的车开的飞快，不过睡着了也还行吧。榻榻米挺舒服的。我睡软床会腰疼。这个睡着刚刚好，屋里挺大的。整体很满意，前台小姑娘很热情，还在他家包了车。', '短评打分': 5}
{'短评内容': '挺好的，店主很热情', '短评打分': 5}
{'短评内容': '还行，位置很方便。', '短评打分': 4}
{'短评内容': '去的时候是淡季了，时间挺紧，但是住的挺满意', '短评打分': 5}
{'短评内容': '还不错了~挺干净的~比较喜欢', '短评打分': 5}
{'短评内容': '设施一般，离码头超近，晚饭不太方便。 酒店帮忙安排包车和门票代购，这点不错', '短评打分': 4}
{'短评内容': '不错哦，值得推荐,主人很热情，有自助早餐还有自助厨房，还有自行车使用。', '短评打分': 5}
