{'短评内容': '早餐一般了', '短评打分': 5}
{'短评内容': '干净卫生整洁', '短评打分': 5}
{'短评内容': '房间什么都没有，连矿泉水都没，电热水壶又是坏的，只有两只避孕套还是一个个卖', '短评打分': 2}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '周边配套购物 旅游景点 ', '短评打分': 5}
{'短评内容': '老爸觉得很不错，加定一晚', '短评打分': 5}
{'短评内容': '给老爸预定的，他说还不错！', '短评打分': 5}
{'短评内容': '身居闹市，却很安静，购物出行方便，住宿设施较好，服务周到。本人比较满意。', '短评打分': 5}
{'短评内容': '环境，服务，条件均很好！', '短评打分': 5}
{'短评内容': '旅游好酒店', '短评打分': 5}
{'短评内容': '在此想点评下携程,真的是很坑爹啊,机票我定的是1963的，通过意外途径得知出票价竟然是1100，最后果断退了，去其他地方订的机票。我才知道为什么很多订票的都那么讨厌携程,很多游客以为获利了，其实被坑了800多,我出了那么多次差，一直在网站上看到被人评判携程不好等等，我一直不太懂，只有自己亲身经历才明白。酒店预付担保了就不能退啊。客人永远都很被动。也不知道上报到维权协会，是否有人会处理。只有他们能把', '短评打分': 5}
{'短评内容': '床硬，垫子弹簧会顶出来，其他还不错', '短评打分': 5}
{'短评内容': '别的都好，就是床有点硬，总体还行，续住一天', '短评打分': 5}
{'短评内容': 'wf网络太差', '短评打分': 2}
{'短评内容': '房间里卫生很干净。交通特别好，服务员很客气。下次还住。', '短评打分': 5}
{'短评内容': '不错，周围比较安静', '短评打分': 3}
{'短评内容': '水压太小，水温太冷，洗澡很不舒服，一入住电话就是坏的，很不值，以后不会再住。', '短评打分': 3}
