{'descr': '挺好的不错的房间跟环境', 'star': 5}
{'descr': '经济实惠！临时出差或中转的，可以考虑哟', 'star': 4}
{'descr': '房间一般，12点退房，11点50通知，晚退10分钟还要加收20元房费。有史以来第一次碰到。', 'star': 3}
{'descr': '太差', 'star': 1}
{'descr': '除了没有电梯，其他都还行，离火车站近车站就在门口皮，楼下吃东西方便', 'star': 5}
{'descr': '住宿环境还可以，价格适中', 'star': 3}
{'descr': '酒店有点不好找。在主路的后身。门很小。需要走到三楼才能看见酒店前台。设施比较老。空调不错。附近餐厅比较多。', 'star': 3}
{'descr': '宾馆离火车站不远，走路十多分钟就到了，宾馆很安静。虽然设施有些旧，但是挺干净，非常推荐大家住这里。', 'star': 4}
{'descr': '交通方便，楼下十几路公交车站在此。饮食方便，楼下几十年各种口味的美食店。房间设置也不错。唯一不足：没有电梯。', 'star': 5}
{'descr': '周边比较方便，各方面还不错，就是房间下水系统有些味道。', 'star': 5}
{'descr': '还行，比较干净！', 'star': 3}
{'descr': '酒店很干净,还能上网,很好', 'star': 3}
{'descr': '酒店很干净,还能上网,很好', 'star': 3}
{'descr': '老公去住了一晚，离车站很近打车不到十块钱，非常方便。', 'star': 3}
{'descr': '老公去住了一晚，离车站很近打车不到十块钱，非常方便。', 'star': 3}
{'descr': '条件还好，交通挺方便的！', 'star': 3}
{'descr': '条件还好，交通挺方便的！', 'star': 3}
{'descr': '又小又破，位置还不好找，但是价格较便宜，并非物超所值，但也不算不值，一分钱一分货吧，负反正我是不会再去了。', 'star': 1}
{'descr': '又小又破，位置还不好找，但是价格较便宜，并非物超所值，但也不算不值，一分钱一分货吧，负反正我是不会再去了。', 'star': 1}
{'descr': '店很偏，不好找，热水和凉水差不多', 'star': 3}
{'descr': '店很偏，不好找，热水和凉水差不多', 'star': 3}
{'descr': ' 网速太慢了，比爬还恶心！房间太少﹑条件一般。', 'star': 3}
{'descr': ' 网速太慢了，比爬还恶心！房间太少﹑条件一般。', 'star': 3}
{'descr': '房间面积是很大，卫生状况不是太好，房间灯光很暗。', 'star': 1}
{'descr': '房间面积是很大，卫生状况不是太好，房间灯光很暗。', 'star': 1}
{'descr': '酒店的外观看起来和旅社一个级别。在唐山本地旅社的消费是70元左右，偏高100%。然后就是楼层较高，没有电梯。行李不方便。内部设施很一般，空调的声音很大。强烈反感', 'star': 1}
{'descr': '酒店的外观看起来和旅社一个级别。在唐山本地旅社的消费是70元左右，偏高100%。然后就是楼层较高，没有电梯。行李不方便。内部设施很一般，空调的声音很大。强烈反感', 'star': 1}
{'descr': '没有信誉而言的商家 提前一个多星期预定的房间 到入住时得到的答复是＂客满＂真叫人无语！\n非常建议：时间充足无要紧公干人士入住！', 'star': 1}
{'descr': '没有信誉而言的商家 提前一个多星期预定的房间 到入住时得到的答复是＂客满＂真叫人无语！\n非常建议：时间充足无要紧公干人士入住！', 'star': 1}
{'descr': '住宿条件很不好，入住时竟然给了我一间未清扫房，晚上蚊子很多，员工服务态度不咋地，下次不会再选择这个酒店。', 'star': 1}
{'descr': '住宿条件很不好，入住时竟然给了我一间未清扫房，晚上蚊子很多，员工服务态度不咋地，下次不会再选择这个酒店。', 'star': 1}
{'descr': '太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！', 'star': 1}
{'descr': '太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！\n太差了，简直就一个小旅馆，真不值得，还150元，太伤心了！', 'star': 1}
{'descr': '酒店的环境一般   尤其是被子   不仅潮，而且盖着浑身痒  很不舒服 \n\n打车去该酒店  司机居然不知道   令我们很头疼   \n\n\n', 'star': 1}
{'descr': '酒店的环境一般   尤其是被子   不仅潮，而且盖着浑身痒  很不舒服 \n\n打车去该酒店  司机居然不知道   令我们很头疼   \n\n\n', 'star': 1}
{'descr': '不错！', 'star': 3}
{'descr': '不错！', 'star': 3}
{'descr': '卫生差，更像个旅馆，价位偏高，性价比太低', 'star': 1}
{'descr': '卫生差，更像个旅馆，价位偏高，性价比太低', 'star': 1}
{'descr': '20至2000字以内，请勿发表违反国家法律的言论。) \n', 'star': 5}
{'descr': '20至2000字以内，请勿发表违反国家法律的言论。) \n', 'star': 5}
{'descr': '以入住一晚。好', 'star': 3}
{'descr': '以入住一晚。好', 'star': 3}
{'descr': '价格便宜，交通方便，设施一般', 'star': 3}
{'descr': '价格便宜，交通方便，设施一般', 'star': 3}
{'descr': '住的是商务大床房，169元，还算舒适，这个价位，这个地段，可以了!', 'star': 5}
{'descr': '住的是商务大床房，169元，还算舒适，这个价位，这个地段，可以了!', 'star': 5}
{'descr': '无窗大房千万别住，太潮，下水道反味，前台服务质量很高', 'star': 5}
{'descr': '无窗大房千万别住，太潮，下水道反味，前台服务质量很高', 'star': 5}
{'descr': '房间通风一般 很小 但是北方住宿都是这样   哎    ', 'star': 5}
