{'descr': '还算可以，对得起这个价格', 'star': 5}
{'descr': '酒店位置挺好，有停车位', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '房间小', 'star': 4}
{'descr': '离金江路车站很近，去人人乐超市非常方便附近也有很多的小型餐馆，性价比还是很高的！', 'star': 5}
{'descr': '应该算是不错了。', 'star': 5}
{'descr': '还不错,站在走廊都可以听到叫床的声音', 'star': 3}
{'descr': '唯独就是空间小  房间', 'star': 5}
{'descr': '交通方便', 'star': 5}
{'descr': '还可以，美女服务态度好，下次还去', 'star': 3}
{'descr': '好小好小，我算真的见识到了迷你小房间。长2.6，宽2.1，的房间  2.6*2.1=5.46 平方， 不到6平方米的小房间，我是见识到了。不过蛮佩服的这么小的面积还能隔成一间房间，厉害。块头大一点的人，住里面真心不爽。', 'star': 3}
{'descr': '是轻轻松松轻轻松松轻轻松松', 'star': 3}
{'descr': '房间虽小但价格实惠，每个房间还配备了电脑，不错，就是其他设施稍显简陋，不过在塘沽135元的价格真的是能够住到得最好的房间了。', 'star': 5}
{'descr': '环境还可以有空调电脑就是单间太小太小', 'star': 3}
{'descr': '店内卫生，服务还好，离汽车站、火车站很近，方便出行。', 'star': 5}
{'descr': '就是周围在建筑，不过我去的时候正好高考。停掉了，周围是有点偏，以后会慢慢好的吧', 'star': 5}
{'descr': '非常干净，服务好，交通方便，不错。旁边有个沃尔玛，还有不少饭店', 'star': 5}
{'descr': '新酒店   比以前住的锦江干净多了   很好的  推荐  ', 'star': 5}
{'descr': '对锦江一向满意，但此间厕所的气味太大，要关厕所门才感觉好些。', 'star': 5}
{'descr': '很新，也挺干净的。 位置比较偏，找了比较久才找到。 离火车站和汽车北站都不远，起标价差不多就到了。 离景点和南站有一定距离。', 'star': 5}
{'descr': '店面很新，装修还行，位置靠近火车站，算挺方便。对于客房内部是绝对满意没得说的，入住的标间在十七楼，装修和设备都挺好，还配了无线网络。工作人员服务态度也可以。唯一能说缺点的话，那就是对面正好市政工程施工，有些吵，当然酒店方面大概也是无奈的，毕竟这不是他们能够控制的。下次如果还有机会去苏州，还是会选这家店的。', 'star': 5}
{'descr': '房间很新，不错。就是洗澡热水有点小，把水流调大就变凉了，可能我住的楼层高吧。\n对面市政施工既然有夜间作业许可证，比较无语。幸好晚上没有施工，不然得吵死。不过早点7点多就准时开始施工了，正好不用闹铃了，叫你起床，呵呵。还有苏州真是小，虽然酒店离汽车北站只有3公里，但在苏州来看，这里确实有点偏，感觉与市区脱节了', 'star': 5}
{'descr': '有点吵，市政施工', 'star': 3}
{'descr': '位置还可以，虽然第一次去比较不好找，标识不太明显，不过旁边就是家乐福，买点什么还是很方便的，有家乐福免费巴士坐，因为没有坐过，不太清楚线路是怎样的。就性价比而言，还不错。', 'star': 5}
{'descr': '新开的，很舒服。除了地理位置很偏僻', 'star': 3}
{'descr': '基本上服務接待品質與房間居住質量是還可以的，可以再來', 'star': 5}
{'descr': '酒店环境不错，房间大，服务态度好，洗澡水压力特别给力，很舒服', 'star': 3}
{'descr': '商务房环境不错，舒服。', 'star': 3}
{'descr': '价格是不高，但是房间实在太小，个子稍微大点的人都转不开身，而且电脑和电视是一体的，为此还多收十块钱的电脑使用费~！有点莫名其妙。', 'star': 1}
