{'短评内容': '交通便利，房间宽敞。', '短评打分': 5}
{'短评内容': '交通方便，房间宽敞。', '短评打分': 5}
{'短评内容': '前台服务很热情，酒店房间干净。空间很大', '短评打分': 5}
{'短评内容': '房间没有想象中的大，厕所的玻璃是透明的，还算比较安静，早饭比较实惠。', '短评打分': 5}
{'短评内容': '总体感觉还行，房间的厕所稍微差一点，床还挺舒服的，属于性价比较高的酒店。', '短评打分': 5}
{'短评内容': '房间很大，卫生干净，没什么味，早餐也可以，品种多安吉君和国际多一倍，订的高级，店家升级成豪华，300一晚，', '短评打分': 5}
{'短评内容': '房间好大，卫生间也超大，总的来说很物超所值啦，早饭也挺好，营养健康卫生，下次如果去的话，我们还会住这家酒店的Y(＾_＾)Y', '短评打分': 5}
{'短评内容': '总体来说，不错', '短评打分': 5}
{'短评内容': '没什么特别的感觉，早饭比较low', '短评打分': 3}
{'短评内容': '房间超级大！服务很好，我们四个人出差，送了我们四本台历，交通也很方便。唯一早歺品种少了点儿，但这个价位确是超值了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店房间还好 设施不多，一楼前台的服务有点不敢让人恭维', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '常住', '短评打分': 4}
{'短评内容': '环境不错，就是早餐贵，价格高。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店早餐挺好，房间大且舒适，但空调音略吵。', '短评打分': 3}
{'短评内容': '酒店位置很不错，早饭很一般。前台服务态度比较好。', '短评打分': 5}
{'短评内容': '恩，酒店不错，干净卫生，硬件设施还行，软件设施更好，只是早餐差点，在这个地方属于性价比很高的酒店了。。。', '短评打分': 5}
{'短评内容': '很干净、交通很方便、服务热情。不足之处是空调太响，只能关了', '短评打分': 5}
{'短评内容': '太吵!', '短评打分': 3}
{'短评内容': '酒店还可以，就是前台态度不咋地，，，，，', '短评打分': 5}
{'短评内容': '9还不错！', '短评打分': 3}
{'短评内容': '还不错，是我在德清住过最舒服的了，早餐有点简单，其他都不错。', '短评打分': 3}
{'短评内容': '房间真的不错，位置也很好，很方便，对面有两家kfc，walmart也就在对面。附近走走也很方便，环境也不错。  就是早饭太差了，品种少，口味也不怎么样。', '短评打分': 5}
{'短评内容': '价格适中，客房却是还好，但是没有挂衣柜，是挂衣架，不太方便\n18楼东首不推荐住，因为靠近中央空调机箱。很吵，后来升级了房间，房间很大，设施也更好些，老公觉得赚了。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行方便。房间很大，卫生间算干净的。被褥一年四季是羽绒的，七月份盖太热了。观光电梯不错，但是地毯有烟头和瓜子壳太脏了。', '短评打分': 5}
{'短评内容': '设施稍显陈旧，交通便捷，总得来说还是不错。', '短评打分': 5}
{'短评内容': '酒店设施不错。物有所值。', '短评打分': 3}
{'短评内容': '很一般的酒店，可惜了那么好的地理位置，服务意识还有待提高', '短评打分': 1}
{'短评内容': '客房挺大的，而且房间也比较新，感觉还算不错，最起码价格适中.', '短评打分': 5}
{'短评内容': '酒店服务人员很热情，对人对事都特别热情，而且比较人性化.服务很好.', '短评打分': 5}
{'短评内容': '在当地来讲，这家酒店的条件还算不错，价位适中，而且条件适中.', '短评打分': 5}
{'短评内容': '房间很大，而且价格也可以，很舒服的，朋友都很满意。', '短评打分': 5}
{'短评内容': '室内环境还行，位置就近选择的，方便出行办事.服务态度也很虔诚，比较不错的酒店.', '短评打分': 5}
{'短评内容': '在德清这个价位来说，位置和条件多算好的了。心态是，有总比没有好。。。。', '短评打分': 5}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 1}
{'短评内容': '+酒店比较新，卫生好，房子大，服务也不错，非常值得推荐。', '短评打分': 5}
