{'短评内容': '酒店设施老一些，服务很好。', '短评打分': 5}
{'短评内容': '非常崩溃的一次订房 一开始说是豪华湖景 结果只看到了树 并没有多少湖 经携程沟通后换到了6楼 结果六楼房间一直响 多次协调后又换回5楼原来的房间住 结果就跟住到了飞机场一样的 一直一直响 作为蒙自的代表酒店 真的是让人非常崩溃的一次住宿！携程五星酒店住了那么多家 这一次真的失望至极！', '短评打分': 3}
{'短评内容': '物美价廉下次还住', '短评打分': 5}
{'短评内容': '确实很不错，服务也很好，强烈推荐一下。外面的环境也是很舒服，就在湖边上，风景很好，直接续住了一天，可以！', '短评打分': 5}
{'短评内容': '相当不错的五星级酒店，住过省内好多家官房，管理服务都没得说，值得，而且这个价位很不错了，酒店在湖边环境真是没说的，夜晚在楼上看外面太漂亮了。停车场大，热水充足好用，走廊安静，卫生干净，还免费提供热牛奶，真是意外。', '短评打分': 5}
{'短评内容': '房价很大，很舒服，价格很好，在二中附近！还算是热闹……有停车的，早餐是自助的……可以带孩子，！不错！', '短评打分': 5}
{'短评内容': '酒店设施完善，有健身房和室外游泳池对住店客人免费开放。早餐丰盛。', '短评打分': 5}
{'短评内容': '很温馨的酒店，下次还来丨？', '短评打分': 5}
{'短评内容': '非常好，来蒙自住此是最好选择。', '短评打分': 5}
{'短评内容': '酒店环境挺好的，前台服务热情给我们推荐了当地特色哈尼菜，早餐品种丰富，下次来蒙自还会选官房大酒店！', '短评打分': 5}
{'短评内容': '酒店开业早，设施设备已经老了。', '短评打分': 3}
{'短评内容': '到过很多家酒店、这里是最满意的！酒店里贴心的服务、外边环境清静、对面的南湖公园夜景也很迷人～下次还到贵店歇息！', '短评打分': 5}
{'短评内容': '住过很多家、这里让我非常满意！', '短评打分': 5}
{'短评内容': '设施不错，环境优美。', '短评打分': 3}
{'短评内容': '官房的酒店口碑很好，酒店很舒适，安静。周边环境也很不错，推荐！', '短评打分': 5}
{'短评内容': '很好，地理位置很好，硬件条件也很好。就是电视机有点陈旧了。不是液晶电视。房间很大。卫生间布局不错，很满意。', '短评打分': 5}
{'短评内容': '性价比很高，房间一般，大堂和公共场所很好，早餐不错。', '短评打分': 3}
{'短评内容': '很好的酒店，性价比超高，风景一流，服务态度很好', '短评打分': 5}
{'短评内容': '不错，酒店的位置超级好，正对南湖。早餐不错，酒店设施比较陈旧', '短评打分': 5}
{'短评内容': '早餐一般，房间尚可，干净!', '短评打分': 3}
{'短评内容': '环境好，靠近南湖，下次还要住', '短评打分': 3}
