{'短评内容': '设备条件一般', '短评打分': 4}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '近路边的好一噪', '短评打分': 4}
{'短评内容': '设施较旧，噪音太，2点才停卡拉OK，停车方便，在网上订购最差的一次.', '短评打分': 3}
{'短评内容': '房间不错够大', '短评打分': 5}
{'短评内容': '很过分v不脚后跟刚回家哈哈大笑', '短评打分': 5}
{'短评内容': '对得起这个价格！！！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还凑活吧，附近没什么好酒店', '短评打分': 3}
{'短评内容': '还可以，价格实惠', '短评打分': 5}
{'短评内容': '气味不好，喷了空气清新剂才好一点', '短评打分': 3}
{'短评内容': '我喜欢的酒店之一！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！？！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境很好性价比高服务态度好', '短评打分': 3}
{'短评内容': '什么时候了现在才记得要来评价，，总之都一般，前台傻乎乎的对携程订单不屑一顾的样子，就这样', '短评打分': 4}
{'短评内容': '周围环境便利，交通方便，食街在旁边，服务素质好', '短评打分': 5}
{'短评内容': 'not so bad, not so good. if your budget is limited, you coudl choose it.', '短评打分': 5}
{'短评内容': '5年前的装修酒店，怎么住啊~ 不推荐给大家了', '短评打分': 1}
{'短评内容': '酒店较干净，但停车不方便！总体性价比还算可以！', '短评打分': 5}
{'短评内容': '酒店整体还行，卫士干净，服务态度也还行。作主要是离我要去的地方很近，所以还是很方便的', '短评打分': 5}
{'短评内容': '酒店环境房间挺好的，位置比较骗。早上的洗澡热水不够热。', '短评打分': 3}
{'短评内容': '房间宽敞,卫生条件较好', '短评打分': 3}
{'短评内容': '不错，下次会再来', '短评打分': 3}
{'短评内容': '不错，房间挺大，但地段吃东西不是很方便.', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高，网顶有优惠，交通较方便，周围都可以停车。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，性价比较好。但停车位有限。', '短评打分': 5}
{'短评内容': '酒店干净，方便,楼下有家酒楼，停车没位置。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，但服务还不错，特别是楼下的餐厅非常丰盛，价格也不算贵。', '短评打分': 3}
{'短评内容': '环境还不错，就是打车好象不太方便，周围没什么好玩的地方', '短评打分': 5}
{'短评内容': '我很满意他们的服务，服务人员相当有素质，而且态度很好，办事也很主动。', '短评打分': 5}
{'短评内容': '经常入住这家酒店，酒店很好，不断的在更新，餐厅新装修的，周边交通很便利的。', '短评打分': 5}
{'短评内容': '酒店绿化很少，但是比较安静，房间卫生还好，设施该有也都有了，整体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店还不错，有空有电视，能上网，有的房间还配备电脑，住的还比较舒适。', '短评打分': 5}
{'短评内容': '环境还好，不是很吵，关上窗户感觉很安静，服务也很到位，能做到随叫随到。', '短评打分': 5}
{'短评内容': '我退房了，服务时太差了，我希望我的评价能实际的体现给别人看，少走点弯路', '短评打分': 1}
{'短评内容': '酒店环境是挺一般，房间是比较大但是设施比较差， 服务还行，位置价格还不错。', '短评打分': 1}
{'短评内容': '我觉得设施倒是挺齐全的，还配备了电脑，感觉挺方便的。', '短评打分': 5}
{'短评内容': '总体从商务酒店的条件来说还可以！唯一很不满意的就是出去办事情极不方便。因为根本很难打到车！门口打车基本上需要等待20分钟以上！这还算是你比较辛运的！再就是房间灯光太暗了！好象是节约用电？？？？', '短评打分': 5}
