{'短评内容': '酒店连窗户都没有', '短评打分': 3}
{'短评内容': '还行，一般，环境不行，房间有味道！还行，一般，环境不行，房间有味道！还行，一般，环境不行，房间有味道！', '短评打分': 4}
{'短评内容': '干净卫生，下次还选择', '短评打分': 5}
{'短评内容': '价格合适', '短评打分': 5}
{'短评内容': '酒店名字和携程上不一样。楼下有点吵。住这里还是看中了交通方便和性价比。一个人临时住住还是推荐的', '短评打分': 4}
{'短评内容': '酒店前台服务不错，入店的时候出了一点小意外，不过很完美的解决了，总体给个好评', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间不错，就是有点偏，但是价格很实惠', '短评打分': 5}
{'短评内容': '很好，很舒适，热水很热，服务热情。', '短评打分': 4}
{'短评内容': '暖气不错，热水很大，够热，服务很好，值得再去。', '短评打分': 4}
{'短评内容': '不行，没有窗户，价格贵', '短评打分': 2}
{'短评内容': '还行，比较卫生，靠马路稍微有点吵', '短评打分': 3}
