{'短评内容': '客房还是挺好的，室内很暖和，周围交通很方便。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '有史以来最差的入住酒店，这么烂，还能挂出来售卖～最可气的是还不能退订，请问酒店、代理和携程怎么去审核和运营的，完全是欺骗消费者', '短评打分': 1}
{'短评内容': '办理美国签证方便，周边吃饭方便，各种档次都有，推荐出门左转走到头的一家小店的驴肉火烧和驴杂火烧，超赞！', '短评打分': 5}
{'短评内容': '地点很好，服务不错，就是房间太小了，设施差一些。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位置很好，坐地铁、公交都很方便，周围有很多小吃。酒店只有三层，住宿很安静、也很安全。酒店性价比不错。', '短评打分': 4}
{'短评内容': 'pros: 离地铁站较近，周边吃饭方便，晚上环境比较安静cons: 房间小，设施较旧，卫生一般（我们房间的浴巾是脏的）', '短评打分': 3}
{'短评内容': '还行吧,就是房间小了点,周边吃东西吃挺方便的', '短评打分': 4}
{'短评内容': '房间很一般，大床房很小。主要是离使馆区近这一点，总的来说性价比很一般。', '短评打分': 4}
{'短评内容': '贵，艺龙也贵，比较陈旧，卫生还不错', '短评打分': 3}
{'短评内容': '还不错，在秀水街附近', '短评打分': 4}
{'短评内容': '环境舒适，房间大，配套设施齐全，服务态度好。', '短评打分': 3}
{'短评内容': '服务态度差，网速太慢，卫生间设施差，电视不是有线的。其他情况一般', '短评打分': 1}
{'短评内容': '在这样的地段有这样的价格很划算，只是希望能做好细节，比如提供点蚊香', '短评打分': 5}
{'短评内容': '交通很方便..环境很不错..下次还会入住', '短评打分': 5}
{'短评内容': '，今下午刚入住，宽带网络不好用，前台说在修，可是因此耽误了许多事情，非常郁闷…', '短评打分': 3}
{'短评内容': '，宾馆卫生环境不错，地理条件优越，房间小点，物有所值吧。', '短评打分': 3}
{'短评内容': '经济便捷卫生', '短评打分': 3}
{'短评内容': '优点：位置优越，交通饮食便利。缺点：电视频道太少，洗浴用品过于·简陋。', '短评打分': 5}
