{'短评内容': '。', '短评打分': 5}
{'短评内容': '周围商铺多 便利', '短评打分': 5}
{'短评内容': '交通方便，干净卫生。房间小', '短评打分': 5}
{'短评内容': '出差经济实惠', '短评打分': 5}
{'短评内容': '早餐是15元/人，主要是中餐为主，一般啦', '短评打分': 4}
{'短评内容': '隔音不太好，整体还不错，喝水杯子和刷牙的都是一次性的，被子有点薄，4个头枕头太扁了不够饱满！', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '非常好非常好。', '短评打分': 5}
{'短评内容': '不错，挺好的，价格不贵，环境舒适，就是房间有点小，没窗户', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈 hi', '短评打分': 3}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '很不错，估计没有40京豆了', '短评打分': 5}
{'短评内容': '干净卫生！！', '短评打分': 5}
{'短评内容': '睡着蛮舒服的，就是那天隔壁酒店承办婚礼，有点吵', '短评打分': 5}
{'短评内容': '很好，环境什么的，很舒服', '短评打分': 5}
{'短评内容': '住着很舒服，服务也很好，下次还考虑', '短评打分': 5}
{'短评内容': '很不错，环境也舒适，住着蛮舒服的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境不好，周边宵夜很多，前后都有停车场，前台服务也挺好的，就是二楼有点绕，之前通过携程预订是不需要押金的，现在又说需要押金，不理解', '短评打分': 5}
{'短评内容': '无窗的房子住着一般', '短评打分': 4}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '替朋友定的，还可以', '短评打分': 5}
{'短评内容': '新装修的还不错，亮色的装潢很不错，价格还算公道', '短评打分': 5}
{'短评内容': '第三次入住了，楼下餐饮也很便利，商旅首选。', '短评打分': 5}
{'短评内容': '新装修的，开业时间不长，一切都很新，房间也很大，下次还来', '短评打分': 5}
{'短评内容': '住了三天，前两天感冒，第三天好了，闻出来还有装修的涂料味。', '短评打分': 3}
{'短评内容': '装修和房间都很好，就是临街有点吵主要是司机不注意，乱按喇叭', '短评打分': 5}
{'短评内容': '开张三个月，干净整洁，房间很大，也比较安静。早餐种类少些。总体性价比比较好。', '短评打分': 3}
{'短评内容': '酒店新开，很干净，只是我住的房间靠近马路有些吵，开业期间有免费早餐。', '短评打分': 5}
{'短评内容': '环境很好、房间很大很舒适、但是显得有点空', '短评打分': 5}
{'短评内容': '新开的店，还不错，都比较新，然后离大润发也蛮近的，周围也有不少卖吃的，总之还不错啦，下次还来住。', '短评打分': 5}
{'短评内容': '酒店刚装修，房间不错,下次还来！！！！！！！', '短评打分': 5}
