{'descr': '对面就是两来风，吃个豪华早餐！', 'star': 4}
{'descr': '空调什么的都不制热，而且噪声真的很像发动机，住过最不满意的一次，没有之一。。。。。位置还不错吧，就图个清静', 'star': 3}
{'descr': '不太好，看着价格来的，报销力度有限。', 'star': 3}
{'descr': '设备太旧太差了，电视看不了，空调不给力', 'star': 3}
{'descr': '房间有一股味道，不敢开窗，因为在二楼，而且电视开了一会儿，就断网了，怎么都连不上了。看在价格的份上，推荐，毕竟便宜！', 'star': 3}
{'descr': '卫生还有待改善，发现两只虫子，水壶里水垢较多，离汽车站火车站较近，', 'star': 3}
{'descr': '不错，早餐挺好吃，就是网比较难上，其他还好', 'star': 4}
{'descr': '不错，价格便宜，汽车站火车站车站附近，这种价格性价比还行', 'star': 4}
{'descr': '服务不错不错得', 'star': 4}
{'descr': '很不错，有免费早餐，餐厅的大叔人非常热情。价格便宜，离市中心火车站都不远，除了设施旧点，其他还行，还有电视频道很少，希望能改进！', 'star': 5}
{'descr': '环境还不错，设施很全，很干净。出行也很方便。性价比不错的宾馆。', 'star': 5}
{'descr': '好。', 'star': 3}
{'descr': ' 对得起这个价位了。', 'star': 3}
{'descr': '不错，很干净，服务也不错，早餐挺好的，感觉很满意', 'star': 5}
{'descr': '不错，除了房间稍微感觉不太清洁外，其他都好，房间都有电脑，有免费早餐。', 'star': 5}
{'descr': '房间大，位置好，标间有电脑，有早餐，虽然早餐只有粥和包子，但这价格值了。', 'star': 3}
{'descr': 'ganjue hen yiban', 'star': 3}
{'descr': '很好，要是屋里喷点香水就好了，，，，，，，，，，', 'star': 5}
{'descr': '不错有电脑，可以尝试的，有机会还住这家店', 'star': 5}
{'descr': '比较舒适 自带电脑 环境好 交通方便 房间大小适中  各种都有', 'star': 5}
{'descr': '酒店不错，环境挺好，离车站也很近，内部餐厅挺好的，早餐花样挺多，质量也挺好，如果招牌能再大点，更醒目点就更好了', 'star': 5}
{'descr': '一般吧，可能是价格比较便宜。感觉设施有点旧了，和图片差的很多。感觉有点脏', 'star': 1}
{'descr': '感觉不错，房间干净整洁，服务温馨，早点丰盛。', 'star': 3}
{'descr': '位置不错，服务尚可，电脑很好用，热水很足，就是床单需要改进下……干净一点就更好了', 'star': 5}
{'descr': '干净，卫生，离火车站汽车站很近，可以上网，环境不错', 'star': 5}
{'descr': '非常好，简洁干净，安静，出差商务经济首选。', 'star': 5}
{'descr': '还可以挺不错的，以后还回去。管理上差一点。', 'star': 5}
{'descr': '不太好  感觉很破  挺次的  附近的这个价格应该还有更好的', 'star': 1}
{'descr': '还可以，走着就到车站了，附近吃的地方很少，环境还行，看着有点偏', 'star': 1}
{'descr': '卫生还可以，就是床垫是大格子的，上面褥子太薄，睡着很不舒服。', 'star': 3}
{'descr': '设施一般，但很干净。周边没有吃饭的地方。', 'star': 1}
{'descr': '还算可以！比较干净，位置也不错，但停车不是太方便！', 'star': 5}
{'descr': '. 在网上看挂三星，其实也就经济型酒店了，设施有点老化，但很安静。早上八点去吃早餐，已经没啥可吃的了。', 'star': 3}
{'descr': '0 床有些旧，早餐还可以\n蔡勇', 'star': 3}
{'descr': '酒店附近不少吃饭的地方，地方比较好找，价格较适中。', 'star': 5}
{'descr': '房间太潮了，不太干净，隔音不好。床单也不干净。', 'star': 1}
{'descr': '价格还算公道，不过没有之前在石家庄住的新店驿家好，这个酒店只能算一般般吧', 'star': 1}
{'descr': '价格相对同类酒店偏高，卫生间设施陈旧。临街的客房噪音偏大', 'star': 1}
{'descr': '1、位置一般，购物、吃饭方便；\n2、网络经常出问题，有上网要求的千万注意了；\n3、电视只能收到可怜的几个台，还别指望清晰；\n4、早餐有（这个价位已经不容易了），比上次少了鸡蛋；\n5、早上经常放不出热水，中午、晚上热水还是很大的；\n6、从性价比而言，一般推荐！', 'star': 5}
{'descr': '总的来说还可以 就是屋子太小了 服务还不错 早上打车很不好打', 'star': 5}
{'descr': '房间不是很大，但是很干净。电脑电话一体，热水很热，早饭也挺好吃。酒店旁边小吃还算不少，有麻辣绝味大包子，竹笼扣馍，面筋等等，还是很方便的。还有他们同品牌的超市。距离火车站实际上也就五分钟左右的路程。还是不错的', 'star': 5}
{'descr': '基本满意，住的标准间，说是双早餐，因为只住一个人，只给一张早餐券，不太爽', 'star': 3}
{'descr': '酒店内饰很一般，床睡的很不舒服，硬硬的，被子还单薄，跟如家、汉庭差太多了。电视节目也不是恩多。', 'star': 1}
{'descr': '酒店的设备一般,房间不隔音,早餐还可以.本来计划常住结果想想花这个价钱可以选择的地方比较多,服务态度让人不舒服,不值得,就住了一晚.', 'star': 1}
{'descr': '交通便利  ………设施完善………有不错的早餐。。。……。。。。。。', 'star': 5}
{'descr': '性价比比较不错的一个宾馆，值的推荐，只是不太好找', 'star': 5}
{'descr': '1、交通便利：离火车站、汽车站都很近；2、闹中取静，购物、餐饮都很方便；3、卫生安全。4、和同档次的比较，早餐也不错！5、性价比较高，推荐！', 'star': 5}
