{'descr': '干净整洁', 'star': 5}
{'descr': '房间干净', 'star': 5}
{'descr': '房间干净，卫生整洁', 'star': 5}
{'descr': '距离火车站不远。', 'star': 4}
{'descr': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', 'star': 5}
{'descr': '价格便宜，环境优雅，周边紧邻渔家乐一条街，室内宽敞明亮，值得再来！', 'star': 5}
{'descr': '还行。', 'star': 5}
{'descr': '还行。', 'star': 5}
{'descr': '还行。', 'star': 5}
{'descr': '很棒！', 'star': 5}
{'descr': '酒店没有停车的地方，后在马路边勉强堵人家门口自己找了个位置……房间电视坏掉了，前台给补偿了30元……其他的都还不错，还是很正规的快捷酒店的感觉！', 'star': 5}
{'descr': '地点离车站有点远，卫生间有点返味，服务好', 'star': 5}
{'descr': '服务质量下降好多，店面可能是要升级了有点乱，有待于改进', 'star': 3}
{'descr': '条件差，还特贵，盘锦的宾馆坑人', 'star': 3}
{'descr': '环境不错，前台接待也热情厚道.一年多一直出差住在这里呢', 'star': 3}
{'descr': '不错，现在预订大床房还送两份早餐和两瓶水。', 'star': 3}
