{'短评内容': '还可以把', '短评打分': 3}
{'短评内容': '挺好的，停车方便', '短评打分': 4}
{'短评内容': '电话联系不上，网站所留号码怎么都打不通，汉庭官网热线一样没人接通，联系不上，晕死', '短评打分': 5}
{'短评内容': '还不错，就是装修有点旧', '短评打分': 5}
{'短评内容': '还可以 比较安静', '短评打分': 4}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '很好，一直来都住这边！', '短评打分': 5}
{'短评内容': '环境好，服务热情亲切，住房质量高', '短评打分': 5}
{'短评内容': '还行，就是房间有点小', '短评打分': 4}
{'短评内容': '离浣沙江步行3、5分钟路程，酒店门口13路汽车站点，可直达客运中心。到西施故里景区，城市广场可以步行十几分钟。房间面积很大，安静卫生', '短评打分': 5}
{'短评内容': '酒店蛮干净，就隔音效果不好，隔壁老王夫妻声音太大很吵。', '短评打分': 3}
{'短评内容': '位置可以，离朋友家进，有停车位', '短评打分': 5}
{'短评内容': '还不错……住的还算斯特林', '短评打分': 3}
{'短评内容': '位置不错，离市中心走走也就20分钟，周围吃的店很多，停车场也够大，就是卫生间味道比较重，其它都还可以的。地理位置不错,周边很多吃饭的地方.房间紧凑,经济型,挺干净.有地上地下都有停车场,自驾的朋友很方便.', '短评打分': 5}
{'短评内容': '位置不错，离市中心走走也就20分钟，周围吃的店很多。地理位置不错，房间紧凑，经济型，挺干净。有地上地下都有停车场,自驾的朋友很方便。', '短评打分': 5}
{'短评内容': '地方不错！很好！还有车接送！下次出差还住这里！', '短评打分': 5}
{'短评内容': '床很大很干净，房间也很宽敞，光线充足。酒店的卫生和设施都很好，前台服务态度也很好。唯一不足的是房间厕所的门是玻璃的，早上阳光会照进来，影响睡眠。总体来说这家酒店很好，值得入住，性价比高！', '短评打分': 5}
{'短评内容': '酒店很新，还算不错 地段又好', '短评打分': 3}
{'短评内容': '酒店蛮好的，就是入住时有点麻烦。停车库有点挤，像考试。', '短评打分': 1}
{'短评内容': '     满意，很舒适，很干净', '短评打分': 3}
{'短评内容': '都很不错，房间够大，空调也给力，服务也很好，推荐！', '短评打分': 5}
{'短评内容': '房间很干净，地段又好，吃饭、购物非常方便，停车也方便，价格又实惠，值得推荐。', '短评打分': 5}
{'短评内容': '酒店不错，房间大小也适中。在诸稽属于性价比不错的酒店', '短评打分': 5}
