{'短评内容': '酒店位置很好，服务态度也很好，晚上热水也有', '短评打分': 5}
{'短评内容': '挺好的 挺舒服的', '短评打分': 4}
{'短评内容': '比原来住的时候差很多，又脏又差，服务也差了许多。', '短评打分': 1}
{'短评内容': '比原来住的时候差很多，又脏又差，服务也差了许多。', '短评打分': 2}
{'短评内容': '帮朋友订的，据说没有热水。这是很大的硬伤啊', '短评打分': 3}
{'短评内容': '老的涉外酒店 安静 离大小昭寺 布达拉宫近 交通方便 就是设施有点旧', '短评打分': 5}
{'短评内容': '虽然房价比较贵一点，出行很方便。大厅有拉萨的风格。房间虽然是旧，干净是干净。服务需要改善一点会更好。', '短评打分': 4}
{'短评内容': '每次到拉萨都住在这里，下次继续', '短评打分': 5}
{'短评内容': '一连又住了很多天，下次还来！', '短评打分': 5}
{'短评内容': '环境优美，出行方便，价格合理', '短评打分': 5}
{'短评内容': '天冷，服务员给加了被子～', '短评打分': 5}
{'短评内容': '位置很好，酒店较老', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '刚订普通标准间、房间小又没空调、后来换了内宾间还可以、就是空调上半夜有下半夜就没有了、环境还可以、楼下有保安', '短评打分': 4}
{'短评内容': '位置很好，', '短评打分': 4}
