{'短评内容': '这个主要离我近', '短评打分': 5}
{'短评内容': '设施陈旧，其他还好', '短评打分': 4}
{'短评内容': '很好用。。。。', '短评打分': 5}
{'短评内容': '太老的酒店，免强可住', '短评打分': 4}
{'短评内容': '老三星，毛巾感觉特别差', '短评打分': 4}
{'短评内容': '好好好   很不错   ', '短评打分': 5}
{'短评内容': '酒店有点老了，设施陈旧，前台服务很差，有个前台话都不会说，没有经过培训，服务相当差', '短评打分': 3}
{'短评内容': '。。。。', '短评打分': 5}
{'短评内容': '还可以吧 可能是开的比较早吧所以设施没有那么好吧', '短评打分': 3}
{'短评内容': '房间挺大的，就是能不能再便宜点', '短评打分': 5}
{'短评内容': '酒店需要升级，设施太老了', '短评打分': 5}
{'短评内容': '这个酒店设施有点陈旧了，建议升级装修', '短评打分': 5}
{'短评内容': '房间有点设施老旧，电视还是大砖头那种，空调也不行了', '短评打分': 5}
{'短评内容': '出差的原因在这个酒店住了将近一个月，感觉各方面还可以，算是中等吧', '短评打分': 5}
{'短评内容': '这个酒店住的时间非常长了，加起来住了也将近一个月啦，感觉还是一般', '短评打分': 5}
{'短评内容': '电视机和预定页面看到的不一样，为老电视。洗澡不遍，水量太小，而且放半天才出来不怎么热的热水。前台服务员态度不好，叫的外卖不让送上去。即使不让送我能理解，但和前台沟通的时候前台态度蛮横，根本不听你讲话，下楼说了几句，那态度也是醉了。不会再有第二次入住。失望透顶', '短评打分': 2}
{'短评内容': '吵一点', '短评打分': 5}
{'短评内容': '环境挺干净的。', '短评打分': 4}
{'短评内容': '还可以，房间比较大', '短评打分': 5}
{'短评内容': '酒店是开了很久的了。设施都比较旧。不过服务还行。', '短评打分': 5}
{'短评内容': '酒店靠近车站比较方便，不过房间有点味', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出差一直住这个酒店，比较方便！！！！', '短评打分': 4}
{'短评内容': '交通方便服务周到，很好', '短评打分': 5}
{'短评内容': '酒店环境不错，交通方便，服务态度好，早餐太单调。', '短评打分': 5}
{'短评内容': '很糟糕的一间宾馆，可是网络评价还很不错。中计了。还不如住7天舒服', '短评打分': 1}
{'短评内容': '酒店的环境不太好，设施旧了点', '短评打分': 3}
{'短评内容': '干净，卫生，无异闻，不错', '短评打分': 3}
{'短评内容': '也算可以。距火车站近，吃的也方便。房间也还可以呢', '短评打分': 5}
{'短评内容': '还可,尚好!', '短评打分': 3}
{'短评内容': '设备旧，卫生间小，淋浴池堵水当泡脚了，差评', '短评打分': 3}
{'短评内容': '设施有些陈旧，位置好距离火车站比较近，周边交通用餐都很方便.整体来讲还是不错的.', '短评打分': 5}
{'短评内容': '本月第二次入住了，房间一样是豪华间，就是房间里的电话有些旧，不好使', '短评打分': 5}
{'短评内容': '酒店外观装修的较豪华，位置不错，一出火车站就能很明显的看到这家酒店，房间的卫生条件很好，蛮干净的，服务周到热情，住宿环境很好', '短评打分': 5}
{'短评内容': '房间装修的很不错，给人感觉蛮豪华的，硬件设施很齐全，浴室设计的很不错，我很喜欢，酒店周边交通方便，打车或者座公交车都没问题，住着挺舒服的', '短评打分': 5}
{'短评内容': '酒店的卫生条件还可以，房间打扫的很干净，没有什么卫生死角，周边环境很好，服务比较人性化，对客人都比较周到，客房的住宿环境也很好', '短评打分': 5}
{'短评内容': '酒店距离火车站比较近，交通方便，附近有一些大超市和商场，购物方便，酒店的房间比较高，住着蛮宽敞的，卫生条件不错，设施较齐全，总体感觉还不错', '短评打分': 5}
{'短评内容': '酒店的服务蛮好的，服务员都是随叫随到，办事效率快，房间卫生做的很到位，打扫的和干净，在酒店前台可以预定机票火车票，感觉蛮方便的', '短评打分': 5}
{'短评内容': '酒店卫生条件做的不错，而且感觉住在这安全方面比较有保障，整体感觉住宿环境还是很好的。', '短评打分': 5}
{'短评内容': '酒店很好找，出火车站就能看到，外观装修的还算豪华，看起来比较高档，附近有一些商场和超市，出行很方便', '短评打分': 5}
{'短评内容': '房门是木头门感觉很扎实，服务不错，卫生条件很好，也比较适合商务人士入住', '短评打分': 5}
{'短评内容': '酒店位置不错，附近打车和座公交都很方便，卫生间空间很大，感觉很不错，服务蛮好的', '短评打分': 5}
{'短评内容': '卫生做的很到位，露天的地毯上打扫的都很干净，很不错，酒店前台可以预定火车票和飞机票，蛮方便的', '短评打分': 5}
{'短评内容': '服务员态度很好很亲切，另外酒店餐厅服务还可以，菜系的种类较多，吃饭比较方便', '短评打分': 5}
{'短评内容': '酒店的环境很好，房间装修的很漂亮，硬件设施给人一种很豪华的感觉，住宿条件还是蛮好的', '短评打分': 5}
{'短评内容': '位置不错，靠近火车站，出行很方便，酒店住着还成，整体感觉还可以的', '短评打分': 5}
{'短评内容': '酒店靠近车站，出行蛮方便的，房间硬件设施较齐全，住着还算舒服', '短评打分': 5}
{'短评内容': '位置就在火车站附近，房间的卫生设施都挺一般，价格还是有些偏贵了。', '短评打分': 5}
