{'descr': '不错', 'star': 5}
{'descr': '到处是施工痕迹，前台服务极差。', 'star': 2}
{'descr': '周围东兰路比较热闹的， 酒店并不吵闹， 就是大堂在装修，需要酒店隔离一下装修的区域与前台的工作区域，否则不仅是客户，前台工作人员也是在灰尘中工作。', 'star': 5}
{'descr': '条件还好，前台人比较热情，隔音性能也还不错，我去的时候正在装修，上海的酒店还是很贵的，人也超多，可能这就是大都市吧', 'star': 5}
{'descr': '前台的女孩子服务态度很好，不想住楼尾就给换了间@高级大床房”，但是酒店卫生实在不敢恭维，房间很小大概只有10平，走廊里都是墙灰门把手脏兮兮的，房间号是纸条贴的进去里面床上有头发电视机镜子都是灰，洗手台有黄渍水渍，房间里就感觉不太干净，马桶上也有头发，携程的图跟实际差的太多了，就是离地铁站不远还算是方便，附近50米左右也有餐厅早餐店什么的', 'star': 3}
{'descr': '产品不错，服务比较到位！', 'star': 5}
{'descr': '我没有去住过呀?', 'star': 5}
{'descr': '离女朋友公司近也方便挺好的', 'star': 5}
{'descr': '春节期间特价，这个价格很实惠了，挺好的。', 'star': 5}
{'descr': '可以', 'star': 4}
{'descr': '还行', 'star': 5}
{'descr': '还可以吧，对得起这个价格', 'star': 5}
{'descr': '很不错的一次住宿', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '朋友喜欢，很好很实惠！', 'star': 5}
{'descr': '设施一般，环境一般，车需停在人家浴场地盘，还得付费！', 'star': 5}
{'descr': '店太老了，就在马路边上，晚上很吵，而且设施好旧。不是很推荐。相对同等价位，附近酒店会比这家好很多的。', 'star': 2}
{'descr': '经常入住了，很不错的酒店。', 'star': 5}
{'descr': '还可以，只是睡觉，由于房价挨着电梯，稍微有点吵，不过还是可以理解的。', 'star': 5}
{'descr': '还行，品牌好就是位置偏了一点，特价房性价比高。', 'star': 1}
{'descr': '房间不太大，较干净，隔音不太好，但有免费Wifi、饮料，周边生活较便利。', 'star': 3}
{'descr': '环境一般，周边也比较吵，室内拖鞋不知道为什么有一股刺鼻的塑料味，搞的整个房间都很难闻，不得不开窗睡觉。洗发水，沐浴露洗面奶居然是什么3合1，真是第一次见过，真够抠门的，洗的头发硬梆梆的', 'star': 1}
{'descr': '出行不是很方便，刚好是一个快速路旁边，打的不是很方便，本来是去广大会展中心的，要到古美路才能打到的，东兰路上饭店也不是很多，要到古美路才多些。', 'star': 5}
{'descr': 'It is very good! I can get good sleep here!', 'star': 5}
{'descr': '很不错的酒店，地理位置也很好。环境很安静的。', 'star': 5}
{'descr': '房间挺干净的。 性价比很高。 就是空调不给力， 开着还是很冷。', 'star': 5}
{'descr': '环境很安静,房间干净舒适，而且有两种枕头可以选择，很贴心。在旁边古美路上的东北农家菜馆吃的饭，挺经济实惠的。下次还会考虑住在这里。', 'star': 5}
{'descr': '非常干净舒适！同住的8位同事都说好，地理位置也非常好，东兰路与古美路上的饭馆很多，吃饭很方便。早餐也还不错。下次出差还会住这里的。', 'star': 5}
{'descr': '虽然住的是百元房,但给房间和正常房间一样,住得很舒服,就是早上停电了,还混了顿免费早餐,呵呵', 'star': 5}
{'descr': '酒店环境不错，交通也方便，住过好几次了，挺好的～', 'star': 5}
{'descr': '酒店比较偏僻，很不好找，服务态度还不错，比较安静，房间设计的太给力了（大床房），全透明浴室！！', 'star': 5}
{'descr': '住的特价百元房，以为很差，没想到房间挺大，都很整洁，这个价在上海是住不到一般经济干净的连锁酒店的，周围环境还行，坐公交寄可以到了', 'star': 5}
{'descr': '很不错的，挺安静，附近吃饭的地方也不少，房间很温馨，极力推荐', 'star': 5}
{'descr': '，服务太度好，环境卫生好，以后出游，可以考虑。', 'star': 3}
{'descr': ' 整体性价比不错！', 'star': 3}
{'descr': '酒店还好,虽然不大,到该有的都有了,带的早餐也不错.', 'star': 3}
{'descr': '环境不错，就是不含早餐', 'star': 3}
{'descr': '住宿条件非常完美，以后还会去。就是在办金卡的时候出现问题了，下次再办好了。', 'star': 5}
{'descr': '离公司很近的，位置还行，条件嘛和其它汉庭一样，还是不错的。', 'star': 5}
{'descr': '还不错 晚上挺安静的 房间干净整洁 有机会还会入住的', 'star': 5}
{'descr': '不错，比较专业的酒店，干净整洁，物品很精致。关键是便宜啊，物超所值。', 'star': 5}
{'descr': '在汉庭已入住，可是汉庭说他们没授权你们就预定特价房，你们真要好好沟通，客户很麻烦。', 'star': 3}
{'descr': '不错，网速很快！', 'star': 3}
{'descr': '条件不错，经济实惠，服务细致，早餐不错。', 'star': 5}
{'descr': ' 入住了感觉不错', 'star': 3}
{'descr': '距离我们客户的公司静，房间干净又安静，价格也不错，值得推荐哦~', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '该宾馆房间设施虽然比较简陋，但总体上还算是整齐洁静，附近交通也较为方便．', 'star': 3}
{'descr': '申请到了百元房，很合算。房间挺干净的，就是小了点，性价比不错', 'star': 5}
{'descr': '虽然位置偏了点。但是性价比非常高。到漕河泾的话值得推荐', 'star': 5}
{'descr': '很好，很不错的酒店，在这个地区很实惠的哦。还有早餐呢。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店价格实惠，还有早餐，很有性价比，就是网上的信息是否有误，房间只有10平方？', 'star': 5}
{'descr': '价格适中，各方面条件还不错，交通还算方便。', 'star': 5}
{'descr': '还不错  汉庭基本上设施什么都差不多    还行吧   性价比也不错的 ', 'star': 5}
{'descr': '不是太干净，水都不热，冬天洗澡太难受了，希望改进！', 'star': 1}
{'descr': '汉庭酒店都很不错的说， 这家酒店里漕河泾开发区很近 位置不错旁边很多饭店！！！', 'star': 5}
{'descr': '虽然比较偏但是挺清静的，其他方便终归中举吧，感觉跟其他地方一样', 'star': 3}
{'descr': '还算不错，最赞的是一楼的志愿者，“小白菜”们勤勤恳恳尽职尽责，很耐心，为制定出行提供了很大的方便', 'star': 5}
{'descr': '已入住。感觉很不错，之前就住过专家店，所以这次还是选择这家店', 'star': 5}
{'descr': '酒店还可以,就是偏了点!', 'star': 5}
{'descr': '麻雀虽小,五脏具全。但房间不是一般的小。', 'star': 5}
{'descr': '+还不错,夜间环境挺安静的', 'star': 5}
{'descr': '还不错啊，比较适合在漕河泾开发区附近办公的人，打车就起步价', 'star': 1}
{'descr': '还不错，离漕河泾开发区较近，来这边出差应该比较方便', 'star': 5}
{'descr': '成功入住酒店了', 'star': 5}
{'descr': '周边环境较差，早餐比其他同价位酒店略好。\r\n停车不太方便。', 'star': 1}
{'descr': '安静不说，卫生也不出\r\n', 'star': 3}
