{'短评内容': '我的押金300元到现在还没有退回给我没收到（银行卡）', '短评打分': 3}
{'短评内容': '早餐不错，品种很多。房间有点小，刚刚进去有点小味道。酒店地理位置很好，靠近中心城区。就是KTV会开到很晚。', '短评打分': 5}
{'短评内容': '房间窗户太小，而且只有一个窗户，房间空气不是太好，吉安大桥边上还是有点小吵，其他都还不错，早餐听爸妈说比较丰富，本人没去。', '短评打分': 4}
{'短评内容': '#ud83d#ude21#ud83d#ude21#ud83d#ude21#ud83d#ude21#ud83d#ude21#ud83d#ude21#ud83d#ude21#ud83d#ude21#ud83d#ude21#ud83d#ude21', '短评打分': 2}
{'短评内容': '不开给我发票', '短评打分': 2}
{'短评内容': '一般般，很老的酒店！！！11', '短评打分': 4}
{'短评内容': '好好。京东就是快，就是便宜。配送员就是全快递服务最好的。太棒了。', '短评打分': 5}
{'短评内容': '挺好。。。。。。。。。。。1。', '短评打分': 5}
{'短评内容': '江景房位置好     ', '短评打分': 4}
{'短评内容': '我非常满意', '短评打分': 5}
{'短评内容': '还行，周边就是步行街。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '携程的金卡还要押金还不如官网好', '短评打分': 5}
{'短评内容': '老牌的酒店了，设施有点陈旧。但还干净。就是酒店顶层有个迪吧。能我八点多退房时还在蹦。服了。', '短评打分': 5}
{'短评内容': '吉安市内算不错的酒店了，可以远眺赣江，风景不错！', '短评打分': 5}
{'短评内容': '连锁酒店品牌，价格也比较合适，下次再来入住', '短评打分': 5}
{'短评内容': '连锁品牌，价格合适，服务周到，只是房间设施有些陈旧', '短评打分': 5}
{'短评内容': '服务态度好，房间太小，早餐太单调，离步行街很近，粗住还是可以的。', '短评打分': 3}
{'短评内容': '算是当地最好的了吧，其它的都很差。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格高了点，酒店设施还算可以，以后有可能会在住         ', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '客房不干净，而且烟味特别大，感觉没有人打扫.位置好去步行街很近，逛街方便.', '短评打分': 1}
{'短评内容': '房间还可以就是服务跟不上，办个退房手续整整等了40分钟，效率太差。', '短评打分': 1}
{'短评内容': '点评点评点评点评点评点评点评点评点评点评', '短评打分': 5}
{'短评内容': '酒店位置很好，设施很新，整体感觉很好。', '短评打分': 3}
{'短评内容': '性价比一般, 酒店名字起的很洋气,很是唬人, 但其实, 服务尚不如100多元的连锁酒店, 设施不如2星, 最后一次住', '短评打分': 1}
{'短评内容': '酒店貌似装修完不久,房间充满刺鼻的气味, 同时帮一位外宾订的房间, 被子上有很脏的鞋印. 投诉到前台, 处理方式很程式化....以后不会来住了', '短评打分': 1}
{'短评内容': '价钱便宜.环境OK..一下就住了3个晚上..', '短评打分': 5}
{'短评内容': '这家酒店非常不错，环境，服务，景色都非常好，下次我还会住这里。', '短评打分': 5}
{'短评内容': '交通比较方便，到步行街几分钟路程，早餐还可以，价格适中，推荐', '短评打分': 5}
{'短评内容': '装修新，质量差，服务差，垃圾也坐客用电梯。', '短评打分': 1}
{'短评内容': '这个是很不错的酒店~!主要是很干净.很新...开业一年左右..建议住288的房间..比较大.我住的21楼..周边的夜景都都看到..几个大窗..本人住了3个晚上..离火车站.坐的士..7元就够.附近离商场..吃的.都好方便..本人推荐..去河边的夜市吃..反正...有去..都会去住..很不错~~..', '短评打分': 5}
{'短评内容': '到过那么多酒店，第一次碰到被关在电梯中的经历。和同事二人半个小时后终于被解救出来。但是没有任何人主动对我们说一句“对不起！....”之类慰问的话。看到酒店大堂那么多人，我们只好灰溜溜的走人！该干嘛干嘛去！徒有4星级硬件、2星级的价格和赣江的江景了！', '短评打分': 1}
{'短评内容': '酒店设施很新，地理位置很好，很值得入住，是吉安最好的酒店！', '短评打分': 3}
{'短评内容': '该酒店是吉安最好的酒店，地处吉安大桥边，房间正对赣江，风景十分优美！', '短评打分': 5}
