{'短评内容': '位置还可以，设施太差！房间之间模板隔断', '短评打分': 3}
{'短评内容': '。还行吧可以的', '短评打分': 5}
{'短评内容': '干净卫生，周边安静', '短评打分': 5}
{'短评内容': '没什么特别的。', '短评打分': 4}
{'短评内容': '一般般，停车麻烦', '短评打分': 4}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '听不错的。出差每次都住这', '短评打分': 5}
{'短评内容': '挺不错的，每次出差都住这，环境好，便宜', '短评打分': 5}
{'短评内容': '环境很好，安静、整洁、卫生，离出差地很近，一直住这，价格也很便宜。', '短评打分': 5}
{'短评内容': '房间好大，显得空旷，床单没有弄好', '短评打分': 4}
{'短评内容': '凑合', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '感觉比较干净、舒适。 可以达到7分吧！', '短评打分': 3}
{'短评内容': '木有印象了', '短评打分': 4}
{'短评内容': '简朴！！！', '短评打分': 2}
{'短评内容': '无锡尚客优湖滨路店干净整洁，面积大，服务好，下回来还选这里！', '短评打分': 3}
{'短评内容': '非常喜欢这个酒店！前台态度很好，房间和卫生间都很大，还有两个大窗，虽说开业已经一年，还是很干净。还可以问前台借无限路由器！离湖滨路商业街很近。', '短评打分': 5}
{'短评内容': '不错哦，酒店离市中心真的很近呢，嘿嘿，虽然这次比较仓促，不过玩的很愉快，环境很好呢~~~店长人很好呢，告诉我们哪里吃的哪里玩的，不错不错~~~', '短评打分': 5}
{'短评内容': '房间的床实在是太硬了。睡的脖子也落枕了。房间的淋浴设施也有问题，水是一会冷的一会热的，还好没有洗头，只是冲了一下。', '短评打分': 1}
{'短评内容': '环境很好，服务也不错，推荐！', '短评打分': 3}
