{'短评内容': '很一般，便宜', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好，', '短评打分': 5}
{'短评内容': '  性价比不错了', '短评打分': 5}
{'短评内容': '一言难尽啊', '短评打分': 1}
{'短评内容': '地方还是不错的，wife连不上不知道为啥，开窗透气可以理解，问题是整上纱窗啊，半夜被蚊子咬醒满屋抓蚊子，干死了五只！提前要蚊香或者带着防蚊虫的东西', '短评打分': 5}
{'短评内容': '挺好的，服务很好，价格也好', '短评打分': 5}
{'短评内容': '挺好的，哈哈............................', '短评打分': 5}
{'短评内容': '交通还算方便，环境服务也不错', '短评打分': 5}
{'短评内容': '还不错。出入都挺方便的。', '短评打分': 4}
{'短评内容': '经济实惠.......', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '相当舒服，服务态度也好！', '短评打分': 5}
{'短评内容': '点点滴滴', '短评打分': 5}
{'短评内容': '很不错的选择。你是一定的话很好的话可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般，价格摆在那里，门感觉不安全。离10线近，女生一人还是不要住', '短评打分': 2}
{'短评内容': '环境差', '短评打分': 1}
