{'短评内容': '各方面都很舒服，值得推荐', '短评打分': 5}
{'短评内容': '总体来说还不错，周边挺安静的', '短评打分': 4}
{'短评内容': '总体来说还不错，周边挺安静的', '短评打分': 4}
{'短评内容': '很好很高', '短评打分': 5}
{'短评内容': '价廉物美，赞', '短评打分': 5}
{'短评内容': '酒店环境不错。就是没有洗发水和浴液 需要自己带 不是很方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店只是因为离办事的地方近，所以住这，比较老的酒店，马马虎虎吧', '短评打分': 3}
{'短评内容': '什么都要花钱买', '短评打分': 4}
{'短评内容': '环境还不错，比较安静，住的满意', '短评打分': 5}
{'短评内容': '酒店陈旧，所有用品均有偿使用。空调要晚上七点才开。不值得推荐。', '短评打分': 3}
{'短评内容': '路过长沙，办理事情，住的还可以', '短评打分': 3}
{'短评内容': '.房间还比较干净，价格比较合理', '短评打分': 3}
{'短评内容': '学习培训住宿。 还不错，服务好', '短评打分': 4}
{'短评内容': '不错的酒店，就是洗溲用品收费，不可理解。', '短评打分': 3}
{'短评内容': '什么东西都要收费，我觉得牙刷，拖鞋，牙膏什么的，不应该收费那么多次。房价也不便宜呀', '短评打分': 1}
{'短评内容': '环境一般，连吹风机都没有，房间小，厕所好小，连毛巾架都没有。不值这个价。', '短评打分': 3}
{'短评内容': '早餐实在太差，会议厅网速太慢，洗手间太小。', '短评打分': 1}
{'短评内容': '唯一觉得安慰的是刚开的，装修，床都达不到这个价格，以后不住了。', '短评打分': 1}
