{'短评内容': '隔音效果不好', '短评打分': 3}
{'短评内容': '位置不错，但设备有点旧', '短评打分': 3}
{'短评内容': '比较干净，周边交通方便', '短评打分': 5}
{'短评内容': '交通吃饭都挺方便的，离地铁站很近', '短评打分': 4}
{'短评内容': '真的非常满意', '短评打分': 5}
{'短评内容': '真的服这个酒店 槽点太多了 1先是前台一副爱住不住的态度 2然后携程上闪住不需要付押金但是前台还是要收我400块押金 3 两百多块的酒店免费矿泉水都没有 房间的矿泉水收费 4我刚开了房在房间的时候 有人开门进来又出去 我不知道是谁 安全那么没保障？5一直催我们12点之前退房 我早上出去吃早餐 十一点五十回房间准备退房 可是我一上楼正撞见保洁员开我的房间门 我房间里还有行李 我没有退房你为什么要开我', '短评打分': 1}
{'短评内容': '位置还行的', '短评打分': 4}
{'短评内容': '酒店位置不错，本人是酒店会员，刚问前台就算是会员携程定了必须12点退房，携程定滴所以不能享受2点退房，也只能呵呵了', '短评打分': 5}
{'短评内容': '中心地段，这个价格算很优惠的！', '短评打分': 5}
{'短评内容': '酒店的位置非常好，楼下吃饭逛街看电影应有尽有！每次来都住在这里，酒店卫生也挺不错，每次动作非常舒心！', '短评打分': 4}
{'短评内容': '每次去武汉必住的地方，相当的不错', '短评打分': 5}
{'短评内容': '主要是考虑到交通便利，周围环境不敢恭维，太吵了，睡眠质量不好的就最好别住这里了。楼下但是很多小吃，购物也很方便。', '短评打分': 3}
{'短评内容': '还好，基本满意', '短评打分': 4}
{'短评内容': '一般。', '短评打分': 3}
{'短评内容': '不咋滴。就是位置好而已而已。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '所处地段还不错 这点挺满意', '短评打分': 3}
{'短评内容': '酒店很好，以后出差就选它了', '短评打分': 5}
