{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '地点很好，附近有超市餐厅', '短评打分': 5}
{'短评内容': '还凑活吧！', '短评打分': 5}
{'短评内容': '太坑，第一次遇到这么坑，酒店不小心点错了，马上点退房，还不能退房，没去入住也照样把你的钱扣了，不知道是携程的问题，还是酒店的问题，第一次遇到这么坑的事情，以前用美团团购的，没入住还可以取消订单，就是携程不行。以后不会再用携程了。', '短评打分': 1}
{'短评内容': '酒店的位置很好。', '短评打分': 5}
{'短评内容': '，，，，，，，', '短评打分': 1}
{'短评内容': '整体性价比还行。整体性价比还行。整体性价比还行。整体性价比还行。整体性价比还行。整体性价比还行。整体性价比还行。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好的酒店，房间很干浄，周边生活配套齐全！', '短评打分': 5}
{'短评内容': '电梯口有人把守，相对住客倒是安全了很多床挺软的', '短评打分': 4}
{'短评内容': '还不错，交通方便', '短评打分': 5}
{'短评内容': '位置交通便利，設施、服務、衛生....ㄧ般般', '短评打分': 3}
{'短评内容': '一般的快捷也没有什么特别的可写', '短评打分': 4}
{'短评内容': '位置、环境、设施都不错，住了好几回四季如春。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净舒服', '短评打分': 3}
{'短评内容': '环境不错~服务也很好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！11', '短评打分': 5}
{'短评内容': '酒店还不错，只是床太软了~', '短评打分': 3}
{'短评内容': '房间很宽敞，比较新。', '短评打分': 3}
{'短评内容': '房间很干净~就是小了点', '短评打分': 3}
{'短评内容': '下雨天打车有点麻烦！房间还好\n离五一广场和火车站都有点远，需要打车到达', '短评打分': 5}
{'短评内容': '这次在网上预订的房间和上回直接入住的房间感觉差好多，房间整体的感觉让人觉得不值那个价钱，房间排气扇的声音相当大，电视机稍模糊，总体感觉不是很舒服~~~', '短评打分': 1}
{'短评内容': '希望可以准备一些一次性的沐浴乳洗发露，坏境优美~下次还会去的~', '短评打分': 5}
{'短评内容': '新的酒店，周边交通也比较发达，环境不错，晚上睡觉挺安静的。\n', '短评打分': 5}
{'短评内容': '较新，蛮好，服务效率也不错，下次还会再来。', '短评打分': 5}
