{'短评内容': '价格还好，房间设施比较老旧', '短评打分': 5}
{'短评内容': '不错性价比很高！', '短评打分': 5}
{'短评内容': '都很好', '短评打分': 5}
{'短评内容': '位置不错 环境可以', '短评打分': 5}
{'短评内容': '好的部分：房间的通道围着天井而建，不是封闭的比较通畅，而房间里也不会因此吵闹，隔音不错。健身房24小时。早餐不功不过，对得起喜来登的牌子和这个价格，但没有出彩的部分；来不及去外面吃煎饼果子的，可以在早餐最里面的档口要一个尝尝。需要更换床单和拖鞋，都得到了第一时间响应。不好的部分：       洗浴的水龙头太任性，拧调节温度的旋钮根本没用，出热水出冷水全看它心情！！！同住的朋友洗的时候被凉水冻坏了，', '短评打分': 4}
{'短评内容': '酒店还行，发现服务员用毛巾擦垃圾桶，酒店的毛巾再干净都不用', '短评打分': 4}
{'短评内容': '房间还行 ', '短评打分': 5}
{'短评内容': '服务好，不错，很满意', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '不错的酒店！住过两次！两次竟神奇的入住同一间！', '短评打分': 5}
{'短评内容': '国际品牌值得拥有', '短评打分': 5}
{'短评内容': '卫生，整洁，舒适，便利', '短评打分': 5}
{'短评内容': '虽然旧了些 但还是不错的 服务很好', '短评打分': 5}
{'短评内容': '老酒店 但很舒适 周边环境也好 性价比超高 服务也好。下次在附近办事的话还会住这里 早餐没有出 应该也不错', '短评打分': 5}
{'短评内容': '一般吧，比起其它城市的喜来登还是??的', '短评打分': 4}
{'短评内容': '可能是老店，环境和设施只能说一般般……', '短评打分': 4}
{'短评内容': '果然是老国际酒店，设备房间都有些年纪了', '短评打分': 4}
{'短评内容': '还行，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '还行，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '不错，老牌酒店，不错不错。', '短评打分': 5}
{'短评内容': '非常好,软硬件都不错.免费升级了行政层.游泳池很干净,孩子一天去玩了三回.', '短评打分': 5}
{'短评内容': '虽说酒店的价位高了点儿，但是老牌酒店的风范还是不错的，服务很好，餐也不错，就是酒店的游泳池对外开放，环境一般，没有其他酒店的清静感觉。', '短评打分': 5}
{'短评内容': 'General service is good. Room is okay. Breakfast is still the same for quite a long time. Should bring in some new dishes.', '短评打分': 5}
{'短评内容': '房间很舒适，床很软，设施齐全够档次，早餐很丰盛美味，服务员都很周到热情，酒店外边是花园式的氛围，青青的草坪鲜艳的花朵，还有美丽的喷泉，让我在那里度过了很愉快很享受的周末。', '短评打分': 5}
{'短评内容': '是一家很不错的老牌五星级酒店，服务员热情周到，办理入住手续简洁快速，大堂经理处理问题态度友善，还给房间做了免费升级，住在这里感觉超实惠又舒心呢。', '短评打分': 5}
{'短评内容': '虽然是一个老酒店，但是产品和服务让我很满意。很棒', '短评打分': 5}
{'短评内容': '设施陈旧，不过服务还可以，喜欢。\n每次都住在这个酒店。', '短评打分': 5}
{'短评内容': '酒店不错，吃饭稍微差点', '短评打分': 3}
{'短评内容': '酒店不错但有点儿旧了,该重新装修一下。', '短评打分': 3}
{'短评内容': '酒店的服务员态度很好,健身房不错,因为是春节期间,怕有鞭炮声,没想到很安静。', '短评打分': 3}
{'短评内容': '设施确实陈旧，按照这种设施确实价格偏高，不过位置还是方便。', '短评打分': 5}
{'短评内容': '服务很好。', '短评打分': 3}
{'短评内容': '门童不帮忙提行李啊，很多服务员站在大堂入口不知道是做神马的。', '短评打分': 1}
{'短评内容': '硬件有些年头了，早餐品种多，很好。圣诞节一楼有表演，但声音太大了。', '短评打分': 5}
{'短评内容': '好好好酒店有些老，其它不错。酒店有些老，其它不错。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '酒店有些老，其它不错。酒店有些老，其它不错。酒店有些老，其它不错。', '短评打分': 5}
{'短评内容': '行政楼层房间不大，但还是相当的精致和考究的，只是烧水壶就没有固定的插电烧水位置了。\n空调不知什么原因一直保持21度左右，冻死我了！', '短评打分': 5}
