{'descr': '很好', 'star': 5}
{'descr': '最突出的优点就是离瘦西湖的西门很近，冲着这点过来住的，其他就没什么了。刚入住的时候，因为携程和酒店的价格不一致，耽误了一会儿，后来经过和酒店沟通，双方各退一步算解决了，携程也表达了歉意，希望以后类似的事情能少一些，出门少些麻烦。', 'star': 3}
{'descr': '房间比较简陋，唯一不错就是离瘦西湖景区非常近', 'star': 5}
{'descr': '超级无敌的垃圾酒店！网上订过了以后私下又在线下把房间卖了！夜里1点带着我妈在扬州市区到处找房！劝大家不要再来订！看了别人评价也是各种奇葩！什么临时加价什么的！珍爱生命远离这家！还有别说什么是同行，同行死全家！', 'star': 1}
{'descr': '就那样吧', 'star': 3}
{'descr': '很好..................', 'star': 5}
{'descr': '卫生间连个门有没有，玻璃全透明的，没有窗帘或者磨砂，完全是只为情侣准备的，网站介绍的早餐也没有，标间竟然比大床房贵⋯⋯房间卫生也很一般，459真不值这个价', 'star': 1}
{'descr': '离瘦西湖西门步行五分钟的位置，只是条件一般！早餐限量，切图片上的小菜没有，送了一盘小咸菜。', 'star': 5}
{'descr': '房间有异味，洗澡的设施差，电视看10分钟会自动关闭。', 'star': 3}
{'descr': '酒店服务好，环境卫生，设备和设施齐全。', 'star': 5}
{'descr': '不是一般的差', 'star': 1}
{'descr': '离瘦西湖近，设施齐全，住的舒服', 'star': 5}
{'descr': '卫生一般开水壶内竞有异物。恶心啊', 'star': 4}
{'descr': '环境一般买，房间很简陋，一般般', 'star': 3}
{'descr': '不喜欢！', 'star': 1}
{'descr': '还可以吧，就是被子太薄了，冬天冷啊！环境还可以，电脑网速不是太好、、', 'star': 5}
{'descr': '布置相对于价位来说还算凑合吧，性价比一般，但是所谓的二十四小时热水实在没做到，到晚上水还忽冷忽热，让人实在无语\u3000', 'star': 3}
{'descr': '浪漫温馨，很舒适，服务周到，地理位置也不错 就是隔音效果不是很好，其它的都不错', 'star': 5}
{'descr': '位置偏，不好找，房间小。不太干净，窗也小，空气差，不推荐，前台态度差', 'star': 1}
{'descr': '就像那种时钟酒店，没什么意思。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。所以说，不能光看照片！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 1}
{'descr': '房间太小，性价比不高 ，不推荐!', 'star': 3}
{'descr': '甜蜜时光主题酒店第一映像很不错，下次还会入住，应该给情侣送点小礼物，哈哈！才浪漫的，哈哈！', 'star': 5}
{'descr': '住房环境优雅，房间有浪漫气息和浓郁的个人色彩，价格合理公道。确是是情侣入住扬州的第一选择。', 'star': 5}
