{'descr': '不好不好不好', 'star': 1}
{'descr': '卫生打扫不及时，房价贵', 'star': 4}
{'descr': '服务一般，房间电视只能看几个，无线信号弱', 'star': 4}
{'descr': '还行  比较清净', 'star': 5}
{'descr': '特别垃圾，强烈建议不要选择这里。房间空间小，墙上掉皮，灯是坏的，电视看不了，下去找前台前台说看不了就是没信号他们也没办法……最主要的是保洁不敲门直接刷卡进入，我和女朋友都没穿衣服。WiFi也没有信号……', 'star': 1}
{'descr': '住了8天了，房间里的卫生还比较干净的，出门吃饭也很方便，楼下水果店和小饭馆都很近。', 'star': 5}
{'descr': ' 在堰桥镇上来说性价比还是比较高的', 'star': 5}
{'descr': '第一个房间马桶堵的，换了一个，性价比差', 'star': 3}
{'descr': '住的很舒心', 'star': 5}
{'descr': '江南小镇，交通方便经济实惠', 'star': 5}
{'descr': '还不错，价廉物美。。。。。。。', 'star': 3}
{'descr': '环境很好服务很下次还会到这里住的', 'star': 5}
{'descr': '非常好，主意是无线网络比较快', 'star': 3}
{'descr': '舒适，热水也很舒服，主要是离客户比较近，在镇上算是最好的酒店咯', 'star': 3}
{'descr': '＋挺干净的，就是靠菜场有些吵。顺便说下酒店名字改了，叫诚凯', 'star': 3}
{'descr': '环境还好，就是稍微有点难找，，，，，，，，', 'star': 5}
{'descr': '位置不错,比较方便.\n干净整洁,值得入住.', 'star': 5}
{'descr': '环境太差，与图片上的不服，，还有卫生间洗澡水龙头坏的', 'star': 1}
{'descr': '房间不错，干净整洁，朝阳的大玻璃窗，让大半个房间充满了阳光。价位也不高，很值。', 'star': 5}
{'descr': '这家店比较安静，周围配套设施也比较齐全，推荐。', 'star': 5}
{'descr': '这家店比较干净整洁、这里配套设施也很齐全，推荐……', 'star': 5}
{'descr': '阳光很好，晒晒太阳好舒服，推荐，空气非常好。', 'star': 5}
{'descr': '虽然是在堰桥镇上，生意还可以的，客房和前台的服务都很好，推荐。', 'star': 5}
{'descr': '这家店在堰桥镇上，安静干净整洁，周围配套设施非常齐全，推荐。', 'star': 5}
{'descr': '感觉这里的空气好清新、阳光没有那么耀眼了，一下子我似乎进入慢生活状态……', 'star': 5}
{'descr': '这家店是前台付现的，不支持信用卡刷卡的。习惯用卡的要事先准备现金，附近有中国银行、农业银行、远处还有一家建行。', 'star': 5}
{'descr': ' 速8小店很显目logo很远的就看得见，周边配套设施齐全，还配有停车场，适合自驾游旅客。', 'star': 5}
{'descr': '这家店在堰桥镇上，附近有如海超市、华莱士餐厅、吴文化公园、医院……距离公交站台五分钟路程，推荐。', 'star': 5}
{'descr': '这家店在堰桥镇上，干净整洁，商务旅客居多。现在到堰桥非常方便了，25路、607路都到，离名园也很近，末班接近晚上十二点的。', 'star': 5}
{'descr': '这家店在堰桥镇上，白天非常的热闹，夜晚很安静，乡下的空气真的非常好，附近还有个吴文化公园，推荐……', 'star': 5}
{'descr': '是堰桥这里唯一的经济型小酒店，简单大方，附近有个华莱士炸鸡店一直开到24:00，还算方便，还会来。', 'star': 5}
{'descr': '这次入住已经是冬天了，室内的空调很给力……', 'star': 5}
{'descr': '干净。整洁。推荐入住.如果有早餐就更好了。', 'star': 5}
{'descr': '基本还可以 ，还算干净，就是位置太偏，太难找啦', 'star': 5}
{'descr': '常住此酒店，便宜，干净，很好。', 'star': 3}
{'descr': '住过的最差的速8酒店了,一塌糊涂。就像个乡镇小旅馆。', 'star': 1}
{'descr': '环境很不错,如果有早饭就更加好了', 'star': 3}
{'descr': '总体上满意，但是早上太吵，附近有农贸市场，5-6点就很热闹了，早上没睡好，电视垃圾', 'star': 5}
{'descr': '经济实惠型的，在当地来说算是性价比较高的，房间阳光很好……', 'star': 5}
{'descr': '桐乡的速8很有档次也很不错，无锡惠山的就差很多，感觉像农家小店', 'star': 1}
{'descr': '挺干净的           晚上的环境就是周围有点嘈杂哦 ', 'star': 5}
{'descr': '该地区经济型酒店很少，这家算比较干净的，但供水经常忽冷忽热，外部电话也没法接进酒店是个瑕疵。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '酒店比较干净整洁, 但离市中心很远, 交通不方便, 如果到堰桥镇, 建议选择', 'star': 5}
{'descr': '还不错的，房间挺大，也挺干净的~只是地方很偏，很偶然的入住', 'star': 5}
{'descr': '还不错吧，难得住住吧，主要是靠朋友那里近，没什么选择。不过地毯实在是太脏了', 'star': 5}
{'descr': '脏,不象品牌经济酒店,因为是开在小镇上,感觉就是脏,电话上,地上很不干净!', 'star': 1}
{'descr': '感觉还是可以的！经济型的住宿环境推荐一下！', 'star': 5}
{'descr': '酒店位置离市区比较远了，离我办事的地方很方便， 服务态度还不错，性价比还可以。酒店也是新的房间的卫生设施都很好。', 'star': 5}
{'descr': '酒店虽然小，但是里面感觉很舒适，整体还不错。', 'star': 5}
