{'短评内容': '不错，酒店交通便利', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就是太贵了', '短评打分': 5}
{'短评内容': '酒店位置', '短评打分': 5}
{'短评内容': '早餐不够丰富，应该增加面条之类带汤的面食，周围堵车严重。', '短评打分': 5}
{'短评内容': '房间设施配置好，干净，服务好', '短评打分': 5}
{'短评内容': '服务非常好，Marry小杨非常贴心，房间环境也特别好特别满意的一次体验', '短评打分': 5}
{'短评内容': '价格比较贵，酒店服务一般吧', '短评打分': 5}
{'短评内容': '希望京东多多做活动，给我们物美价廉的好东西。。。。还不错', '短评打分': 5}
{'短评内容': '设施不错', '短评打分': 5}
{'短评内容': '很难忘的一次旅行，酒店地理位置佳，处于贵阳市中心，各种服务到位，免费升级了房间，非常满意。', '短评打分': 5}
{'短评内容': '夏季的贵阳，高端酒店特别稀缺，房价略高还不带早餐，不过酒店附近全是贵阳小吃店，弥补了不带早餐的遗憾', '短评打分': 5}
{'短评内容': '住过几次，还不错，不过就是价格有点高了！', '短评打分': 5}
{'短评内容': '位置很好找，也很方便。房间大，入住得还是很愉快。', '短评打分': 5}
{'短评内容': '超级超级好。', '短评打分': 5}
{'短评内容': '帮朋友订的，说不错，价格略高，性价比差了一些。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好,很快捷,也很实惠,确认也很快,现在已入住,一切都没问题,京东确实不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很大，卫生间很大，酒店窗玻璃好久没擦了，看出去象有雾。早餐不错，顶层行政酒吧免费。', '短评打分': 5}
{'短评内容': '以前感觉不错，这一次两瓶免费的矿泉水居然开过的，打电话给总台给我换了，说汇报经理解决，到我退房两天了也没任何回复，诚信缺失。', '短评打分': 3}
{'短评内容': '其實都沒什麼問題，酒店位置近機場，從機場出來後半小時到酒店。其他沒什麼問題', '短评打分': 4}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '這次是幫朋友預訂的酒店,因為位置方便,而且算是品牌有保証. 但有一點問題就是酒店的接線員轉駁電話時轉錯,要重新再打幾個才能找到正確的人,而且一旦錯了只能重新打,他不能再轉回總機. 這點是很不人性化,為什麼會有這種問題出現呢.從沒試過有酒店會有這次情況出現.', '短评打分': 4}
{'短评内容': '服务挺好的，服务生会很主动拿行李和询问，房间插头没电也立刻弄好了！夜景很漂亮', '短评打分': 5}
{'短评内容': '自己想独处或是有特殊情况的第一选择，已多次居住，地理位置很好，卫生、服务和员工态度都很好，长期居住。', '短评打分': 5}
{'短评内容': '服务好，卫生设施和基础配置都不错，服务员很有礼貌，停车也方便，会长期住！', '短评打分': 5}
{'短评内容': '目前贵阳最好的酒店，管理得不错，服务很好，位置很好，离机场距离很近，周边美食多多', '短评打分': 5}
{'短评内容': '酒店服务好，位置佳，景观很好！房间很舒适，整体很干净，早餐挺不错，选择性很多', '短评打分': 5}
{'短评内容': '服务好 就是楼层太高 其他都很好', '短评打分': 5}
{'短评内容': '服务到位设施齐备', '短评打分': 5}
{'短评内容': '酒店硬件设施符合豪华酒店的定位，前台服务很热情贴心，就是周边环境稍乱。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，软件也不错。遗憾的是游泳池外包了不能游泳。', '短评打分': 5}
{'短评内容': '服务不错，房间干净', '短评打分': 4}
{'短评内容': '酒店价格偏高，硬件很好，软件很差，服务态度没有五星标准，二星差不多', '短评打分': 1}
{'短评内容': '酒店很大气，都还很满意。不过停车不能开停车票，需要客人在停车场交费后拿票去前台报销，这是最失败的地方。', '短评打分': 3}
