{'短评内容': '还不错！价格很合适', '短评打分': 5}
{'短评内容': '还好！连锁酒店', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '在附近考试，怕耽误时间提前住过去的。第一次安排的房间，卫生间挂着衣服，说明搞卫生不彻底。联系总台马上更换房间，说明服务态度还不错。', '短评打分': 5}
{'短评内容': '设施齐全  干净卫生   服务态度也很好', '短评打分': 5}
{'短评内容': '垃圾，暗窗房，房间还小。床单下面两根?吧毛。半夜了我一个人住，懒得折腾。凑合睡吧。', '短评打分': 5}
{'短评内容': '实用，很结很好，很实，外观设计的不错，大屏喜欢', '短评打分': 5}
{'短评内容': '去周边办事比较方便', '短评打分': 4}
{'短评内容': '周围夜宵挺多的，酒店住宿干净卫生', '短评打分': 5}
{'短评内容': '考试的时候住还行', '短评打分': 4}
{'短评内容': '出门没多远就有公交站，交通还方便。房间看上去很干净，设施齐全。就是隔音不太好，部分设施杂音好大。不过，总体来说，还是可以的。', '短评打分': 5}
{'短评内容': '挺好的，条件很不错啊', '短评打分': 4}
{'短评内容': '环境蛮好，而且出行交通都便利，有机会还会来租的～', '短评打分': 5}
{'短评内容': '就是睡一晚而已，真心一般', '短评打分': 3}
{'短评内容': '酒店位置不怎好有车位但停了出不去的都被电瓶车给堵住了，因为旁边是个农贸市场来来往往的人很多。晚上睡觉吵半夜在唱歌附近应该有个KTV。而且房间无线网也很差白天不能上要晚上才可以不知道什么情况，电脑想看点资料都不行。不过服务还是挺好的', '短评打分': 4}
{'短评内容': '服务好，环境好，设备也好，网速也快', '短评打分': 5}
{'短评内容': '服务态度很好，房间也很干净，挺好的', '短评打分': 5}
{'短评内容': '适宜短期差旅住宿，适宜短期差旅住宿，适宜短期差旅住宿，', '短评打分': 5}
{'短评内容': '内部条件不错,就是楼上一大早就开始吵', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '离机场方便，出行有新区的大型饮食休闲中心，闹中取静。', '短评打分': 5}
