{'短评内容': '感觉设施比较旧，但是价格便宜，而且地理位置也很好', '短评打分': 4}
{'短评内容': '房间太差，定的时候他们店家都不敢在网上上图片，去店房间我很后悔，店里服务态度差，地理位置就是在湖边好一点，其他的没有一个是好的。', '短评打分': 1}
{'短评内容': '房间里很脏，床位旁边似乎还有猫屎的臭味，晚上得用被子盖着才能防止被熏着。卫生间的很多设施都坏了，地上也很脏，排插感觉会漏电。外面看起来很文艺很好，六人间里面真的是没办法吐槽。老板一脸冷漠，一副“你爱住不住”的样子。唯一好一点的地方就是在湖边，周边环境给好评，其他差评！', '短评打分': 2}
{'短评内容': '不错，很实惠', '短评打分': 5}
{'短评内容': '湖景房没想到是既有落地窗也有阳台，观景棒棒哒！热水放了好会儿没出来有些尴尬', '短评打分': 5}
{'短评内容': '客栈与泸沽湖一路之隔，不看湖都不行，环境出乎意外的好，泸沽湖像一个美丽的少妇一一安静平和，当然也性感。。。', '短评打分': 5}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '房间很干净。还行附近搞装修有些吵', '短评打分': 5}
{'短评内容': '湖思，带给人不一样的青旅体验。一进门便是书吧和茶室，轻轻翻阅他人的游记，闻着茶香，在古朴的客栈里规划泸沽湖的行程，时光就这样慢慢流淌，不急不缓。', '短评打分': 5}
{'短评内容': '酒店很大  住的很舒服 硬件设施都不错', '短评打分': 5}
{'短评内容': '在3度的泸沽湖半夜热醒，我也是醉了，哈哈，是电热毯太给力了吗？我已经设置了睡眠模式的', '短评打分': 4}
{'短评内容': '这是我住过被子最脏的客栈了，枕头上还有长头发。洗手间也很旧了。另外位置非常非常好就在大落水码头边上，可以在床看泸沽湖日出。', '短评打分': 2}
{'短评内容': '整体而言还可以啦', '短评打分': 3}
{'短评内容': '老板很和善大麦很可爱店里的阿姨很热情。', '短评打分': 5}
{'短评内容': '性价比超高！就在泸沽湖边，随时可以在湖边溜达  ', '短评打分': 5}
{'短评内容': '酒店位置就在湖边，一走下来就能看见美美的泸沽湖。房间很干净，布置当然有民族风情。意料之外的好，应该是落水村最便宜的吧，才88', '短评打分': 3}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '来泸沽湖真的还是要住在大落水，这是我们一行人和路上遇到的所有人的一致观点啦~因为大落水景色开阔，里格半岛的话其实景色不大好的。\n湖思的景色是很好的，出门几步就是泸沽湖水了。\n不过作为一个YHA，感觉质量还是有待提高。\n洗澡水忽冷忽热的，大多数情况下是太烫了，没办法好好洗啊。我们定了两家房，有一间的马桶是坏的，没办法冲，修了之后还是坏的，也没有给我们换一间房。\n公共休闲区域的透明玻璃房初看非常有情调', '短评打分': 1}
{'短评内容': '除了房间大点以外，其他的设施不值这个价\n但是在泸沽湖那个农村地方，可以理解。\n但是老板和前台小伙的态度实在不敢恭维，态度一如既往的冷淡，这点让人非常不爽\n建议住其他酒店', '短评打分': 1}
{'短评内容': '半夜雨把被子都滴湿了。浴室没电。其实无须预定，大洛水50一个标间随便住。哪家都一样，都在水边一', '短评打分': 3}
{'短评内容': '真心后悔订了这家青旅。。从踏进旅馆开始就各种不喜欢，老板态度不怎样，房间真是各种烂。用马桶还是坏的。热水器就更惨了，一直只有热水没冷水根本就洗不了。房间柜子里还有臭袜子！煮水的已经发霉了也不换。这是我住过最差的青旅，没有之一。谁住谁后悔！', '短评打分': 1}
{'短评内容': '还不错。就在湖边', '短评打分': 3}
{'短评内容': '环境挺好的，卫生干净，住着舒服，出门就是码头了，游玩也比较方便！', '短评打分': 5}
