{'短评内容': '很遗憾因为临时有事没有去入住，嫌麻烦也没有办理退款', '短评打分': 5}
{'短评内容': '太远了，从A座到B座走好远，在山上，到了以后没有住，直接退房了，但是房费已经付了，还好不是太多，建议不要定了', '短评打分': 3}
{'短评内容': '有停车位，位置在市中心', '短评打分': 5}
{'短评内容': '一般，山顶上的酒店。', '短评打分': 3}
{'短评内容': '酒店不错，住了十次了', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '酒店条件很好，服务也好，就是在坡上', '短评打分': 5}
{'短评内容': '还可以，B座有些远', '短评打分': 5}
{'短评内容': '酒店不错，干净整洁！', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '升级为套间，很舒服', '短评打分': 5}
{'短评内容': '就是有点儿远', '短评打分': 3}
{'短评内容': '设施有些陈旧，早餐太差了，吃过最差的含早的早餐～服务人员的服务还比较好，地点比较好，离火车站很近，很方便～', '短评打分': 5}
{'短评内容': '整体还不错，价格也还可以，最好住主楼 停车方便。', '短评打分': 4}
{'短评内容': '很好很不错，位置好，干净卫生！', '短评打分': 5}
{'短评内容': '酒店环境不错。但是我已冻结了房费，去到了说我迟到没有留房间给我，不能办理入住。我们只好在前台等他们处理，等了大半小时，才找了房间给我们，累了一整天到了酒店还要折腾这个。九点多才吃上晚饭。', '短评打分': 5}
{'短评内容': '方便个人出行', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '卫生干净硬件比较新', '短评打分': 5}
{'短评内容': '价格实惠交通方便', '短评打分': 5}
{'短评内容': '相当不错 条件很棒 在市中心 很方便 离避暑山庄也很近 如果门口施工结束会更棒', '短评打分': 5}
{'短评内容': '定的是标间，价格不涨的情况下升级为套间，服务好，房间干净，非常满意，会再光顾', '短评打分': 5}
{'短评内容': '按照地图下高速走武烈路到新华路左转，第二个红绿灯就看到西南角的华成酒店了，很好找。酒店很干净，环境不错，家里人住得很满意。走着到避暑山庄大概10多分钟吧，沿途挺多可以吃饭的地方，不错，推荐！附近肯德基麦当劳包子铺很丰富，早饭很好解决！', '短评打分': 5}
{'短评内容': '按照地图下高速走武烈路到新华路左转，第二个红绿灯就看到西南角的华成酒店了，很好找。酒店很干净，环境不错，家里人住得很满意。走着到避暑山庄大概10多分钟吧，沿途挺多可以吃饭的地方，不错，推荐！', '短评打分': 5}
{'短评内容': '个人感觉还可以，一进屋有些潮味，通通风也还行。临近市场稍微有些吵', '短评打分': 3}
{'短评内容': '酒店位置不错，价格也不高，房间设施较新，是个可选择的好住处。', '短评打分': 3}
{'短评内容': '闹市取静还不错，楼下的早点很多，不用在酒店吃。。。。。', '短评打分': 5}
{'短评内容': '位置在新华路和南营子大街交叉路口的西南角，承德医大附属医院对面，酒店标志明显，交通便利，附近医院、餐厅、商场、宾馆、银行众多，到避暑山庄丽正门5站地，步行10分钟可到大清花饺子馆总店，楼下有孙记包子铺可以吃早餐，宾馆免费停车场较小，节假日去晚了就没地停了。房间设施一般，床铺上有头发，住在临街一面较吵，楼下餐厅的鼓风机很响，白天影响休息，好在晚上8点多就停了，不影响睡眠。', '短评打分': 5}
{'短评内容': '这家酒店服务非常好，位置很好，我的房间没有临街，所以非常安静，酒店也非常干净，超乎我的想象，停车也可以，只不过没有早餐，不过周围到处都是吃的，方便之极，下次定会推荐朋友们去。', '短评打分': 5}
{'短评内容': '酒店很干净，电器设备齐全，而且全部都是崭新完好的，空调效果一流，下次去还住这家。', '短评打分': 5}
{'短评内容': '在承德这个旅游城市这个价格真的不算贵了\n地暖\n因为到店比较晚 没有房间了 免费升级到套间的  呵呵\n空调没有嗡嗡响声  安静', '短评打分': 5}
{'短评内容': '干净，设施也不错，地理位置优越。', '短评打分': 3}
{'短评内容': '酒店很干净，价位不高，里避暑山长很近，，推荐', '短评打分': 5}
{'短评内容': '很一般的酒店，但在承德也算是不错的酒店了，价位也不是很高，交通出行便利', '短评打分': 5}
{'短评内容': '交通很方便 就是没早餐', '短评打分': 3}
{'短评内容': '位置好，       环境也可以， 价格也行      就是有点旧了', '短评打分': 5}
{'短评内容': '房間很清潔!很好!環境舒服，去周圍景點方便。', '短评打分': 5}
{'短评内容': '干净好', '短评打分': 3}
{'短评内容': '酒店的地理位置是在不是很起眼，好在每年都去承德，所以对当地比较熟悉，否则初来乍到的游客真的很难找到它。酒店周边环境不是很好，楼下就是个小菜市场，临街的房间会比较吵一点。交通很方便，距离最近的公交车站只要200米，酒店周边有药店、中行、餐馆等便利设施。酒店房间的布置和格调还是比较好的，房间和卫生间面积很大，枕头舒服，是那种一面荞麦皮一面太空棉的，可以满足不同需求的人。房间里面美中不足的是电视很小，拖', '短评打分': 5}
