{'短评内容': '很不错 干净整洁 舒适', '短评打分': 5}
{'短评内容': '出差定的 不错', '短评打分': 4}
{'短评内容': '出差定的 不错', '短评打分': 5}
{'短评内容': '早餐没吃，周边没什么东西，酒店比较陈旧了', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '地理位置好', '短评打分': 5}
{'短评内容': '酒店位置不错 干净 态度一般', '短评打分': 5}
{'短评内容': '。。。。。。', '短评打分': 3}
{'短评内容': '不太理想，酒店整体和价位不对等', '短评打分': 3}
{'短评内容': ' 酒店位于长乐市区，交通比较便捷。酒店设备有些许老旧，酒店临街，隔音也不是很好。酒店提供早餐，早餐比较丰盛，选择面比较大。酒店的价格有点小贵，三星酒店，总体还是推荐入住。', '短评打分': 4}
{'短评内容': ' 酒店位于长乐市区，交通比较便捷。酒店设备有些许老旧，酒店临街，隔音也不是很好。酒店提供早餐，早餐比较丰盛，选择面比较大。酒店的价格有点小贵，三星酒店，总体还是推荐入住。', '短评打分': 4}
{'短评内容': ' 酒店位于长乐市区，交通比较便捷。酒店设备有些许老旧，酒店临街，隔音也不是很好。酒店提供早餐，早餐比较丰盛，选择面比较大。酒店的价格有点小贵，三星酒店，总体还是推荐入住。', '短评打分': 4}
{'短评内容': '怪味，一分钱一分货，湖件人喜欢喷雾', '短评打分': 3}
{'短评内容': '还可以，周边环境也还OK', '短评打分': 4}
{'短评内容': '位置很好，离吃饭的地方很近，晚上也很安静。', '短评打分': 5}
{'短评内容': '位置很好，离吃饭的地方很近，晚上也很安静。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
