{'短评内容': '酒店环境不错，服务态度很好，停车也很方便', '短评打分': 5}
{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '还不错，就是与图片不符，图片有大窗户，其实只有厕所有一个小窗户', '短评打分': 5}
{'短评内容': '酒店位置离地铁很近，很方便，环境也不错，值得推荐～', '短评打分': 5}
{'短评内容': '住的还不错', '短评打分': 5}
{'短评内容': '环境很棒，位置可以，距离积玉桥地铁站与螃蟹岬地铁站都不远，距离晏华林也很近，户部巷也是，走路十几分钟吧，好评', '短评打分': 5}
{'短评内容': '房间很干净 离江边很近 ', '短评打分': 5}
{'短评内容': '我觉得好的地方：房间很干净。网络好。环境比较安静。枕头舒服。我觉得不好的地方：出门找个小黄车还要看运气，不过我发现在后面的老胡同里有不少，门口大路上很少。没告诉我领牛奶的事，我问了才说。', '短评打分': 5}
{'短评内容': '还行，装修老点，有点霉味，服务员不热情，爱理不理的', '短评打分': 5}
{'短评内容': '非常划算，服务也很好。很满意', '短评打分': 5}
{'短评内容': '一般吧，这个价格也就这样了，七天不如原来了', '短评打分': 4}
{'短评内容': '地点还是可以的，不难找。房间有点小，厕所窗户漏风，还算干净。', '短评打分': 5}
{'短评内容': '这边太冷了、屋里有点小但是还挺干净的', '短评打分': 5}
{'短评内容': '酒店还不错，就是有点不好找。。。。。', '短评打分': 5}
{'短评内容': '不错啊，我是负责的。', '短评打分': 5}
{'短评内容': '吼啊！', '短评打分': 5}
{'短评内容': '干净整洁，交通便利。', '短评打分': 5}
{'短评内容': '地理位置方便，前台李姓服务员服务态度很好，我晚上喝醉酒了，在前台吵闹，非常抱歉了。', '短评打分': 5}
{'短评内容': '性价比不错，推荐', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店不错，也蛮干净的，就是到酒店的那条路实在有点小恐怖啊，晚上单身女子要注意', '短评打分': 5}
{'短评内容': '这家店还不错。离户部巷和昙华林都很近。我住的房间不临街，除了第一天晚上不知什么原因比较吵以外，别的时间都比较安静。对了这个酒店离黄鹤楼也很近，对于我来说走路就能到。嘻嘻！房间比较拥挤，但是整体性比较好。我住的房间不提供免费矿泉水，但是还好吧。电视挺大，被子也比较舒服。就写这么多了。', '短评打分': 4}
{'短评内容': '值得推荐，价位，环境同类型酒店里面都算好的', '短评打分': 4}
{'短评内容': '价钱好！服务好！再接再厉', '短评打分': 5}
