{'短评内容': '以后不会再订这里。环境，卫生都让人不舒服，很邋遢的感觉。没有吃早餐，不知道情况。有问题找前台的时候前台的人也只是敷衍了事。', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '总的来说，还是可以的！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '服务不热情、房间床和地面不平整过后换了一间、浴巾都是烂的、我想说该换就换了吧浴巾值不了几个钱、退房也很慢……', '短评打分': 3}
{'短评内容': '还行就是这个价位', '短评打分': 5}
{'短评内容': '感觉还不错，就是白天感觉挺吵得', '短评打分': 3}
{'短评内容': '都一般', '短评打分': 3}
{'短评内容': '房间还可以吧 前台服务很热情 客房也是每天都有清理 很好 就是房间外面很吵 隔音效果不是很好 离火车站还算近 附近又有公交站 还是比较方便的', '短评打分': 3}
{'短评内容': '还不错哦。，离五块石很近方便。出行公交站也较近。。', '短评打分': 3}
{'短评内容': '谢谢您为我订的宾馆，我较为满意,在此表示真诚的谢意!', '短评打分': 3}
{'短评内容': '房间设施比较齐全，挺干净的。连计生用品都准备好了，可惜没用到。嘿嘿~~空调电池没电了，好在晚上不是很热。建议：尽量要求住在内侧，外侧靠马路有噪音。', '短评打分': 5}
{'短评内容': '华铁宾馆一般，没宽带上…不过出门在外也将就了…', '短评打分': 3}
