{'短评内容': '山上条件比较艰苦。但是酒店位置很方便。有停车场。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '服务层质量很好', '短评打分': 4}
{'短评内容': '酒店设施比较老旧。上位住客居然把厕所搞堵住了。联系又换了一个房间，酒店霉味比较大，单人床估计是1米的。太小了。并且被单什么的给人感觉很不干净。毕竟价格在那里，也没有什么好说的。看到酒店新刷的墙，应该还是想好的。为什么不能把别的不是很花钱的地方一起整理一下呢？', '短评打分': 3}
{'短评内容': '房间老旧，山上酒店真心不太好，都差不多这样，下次还会入住', '短评打分': 3}
{'短评内容': '离九华街有点远', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间脏乱差，当时是没在意，没看评论就找了这一家，房间很潮湿，一屋子霉味，设施很落后，空调基本是坏的，卫生间好脏，好像从来没有打理过，还这么贵，真是后悔死了！建议大家不要来这一家，一定会后悔死的！', '短评打分': 2}
{'短评内容': '房间脏乱差，当时是没在意，没看评论就找了这一家，房间很潮湿，一屋子霉味，设施很落后，空调基本是坏的，卫生间好脏，好像从来没有打理过，还这么贵，真是后悔死了！建议大家不要来这一家，一定会后悔死的！', '短评打分': 2}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '房间卫生尚可，服务好，设施较差，周边环境可。本次目的为观光，祈福。', '短评打分': 3}
{'短评内容': '周边环境很好一，服务也很好，就是条件很一般，卫生间可以用破烂形容，床铺质量也不够好！总体只能说还行！旁边也有家庭式的宾馆，条件应该差不多，价钱要便宜不少。', '短评打分': 4}
{'短评内容': '还不错，比较安静，卫生条件尚可，就是枕头用着不太舒服。周边游览方便。', '短评打分': 5}
{'短评内容': '水杯水垢好多，无法喝水。各种设备陈旧按，下雨屋内天花板听到漏水声', '短评打分': 2}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '地理位置很好，出行很方便，到九华街很近。但是设施比较老。当然啦，在山上的酒店不能和城市里的大酒店比咯。 \n还是很值得推荐的啦！', '短评打分': 5}
{'短评内容': '太差劲太陈旧！不值此价钱，', '短评打分': 3}
{'短评内容': '在九华山属中档酒店，以后还会入住，会推荐给朋友们。', '短评打分': 5}
{'短评内容': '环境条件一般，工作人员态度还行，早餐差点', '短评打分': 5}
{'短评内容': '、我不去了、请取消预订的酒店吧', '短评打分': 3}
{'短评内容': '地理位置很好，希望能够提升一下硬件设施就更好了。', '短评打分': 5}
{'短评内容': '总体感觉一般，卫生间的马桶确实比较旧了，还有吊顶，比较破旧，可以看到上面的结构了，感觉很不好，另外就是热水要等开了很久才有，很浪费水，还发现刚开的时候出来的水有点黄，开一段时间后才变白，其它的还能接受，希望能改进一下', '短评打分': 5}
{'短评内容': '前台很热情，吃饭打了折，比较实惠，请香价格合理，我们的标准房窗户对着外面的山景，视野开阔，性价比较高', '短评打分': 5}
{'短评内容': '酒店环境还可以，设施也不错，服务也很周到。', '短评打分': 3}
{'短评内容': '饭店不大，位置很好。尤其是服务员态度很好，感觉很亲切。问借针线，主动提出要给我们帮忙缝。看得出来生活在这里的人们状态很好。\n\n节假日太贵，540一晚，房间基本上就是一般招待所的水平，不过其他酒店也一样。\n\n房间蛮干净，餐厅也还不错', '短评打分': 5}
{'短评内容': '应该还好吧，帮朋友订的\n价位有点高    \n应该还好吧，帮朋友订的\n价位有点高', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '这几天香客特别多，房间总得来说一般吧，相对于这个价格300多，房间真的是一般，而且空调制热功能一般，并且房门下方有风进来，晚上睡觉很冷，后来我们两个人睡一张床，因为酒店没有多余的被子，提供的毛毯很脏不敢盖。\n另外卫生间有浴缸但不能用，没有浴帘，一洗澡，水溅得到处都是（安徽省内多数酒店都这样？？？，我这几天住过N个酒店，从没星的，到四星的，卫生间都不怎么样）\n', '短评打分': 5}
{'短评内容': '酒店相当糟糕，我入住的房间原是三人间改的，墙上印记犹在卫生间实在是惨不忍赌了。至于早餐那是真的不堪入目。唯一值得一提的只是地段尚可罢了。', '短评打分': 1}
{'短评内容': '还是很便宜的  可以休息 比较干净和安静', '短评打分': 5}
{'短评内容': '金环酒店设施比较旧，服务很好。', '短评打分': 3}
{'短评内容': '酒店的设施陈旧，实在是太不值这个价钱了，去的时候正好赶上九华山大旱停水，房间里供应的是酒店锅炉烧过的井水，实在是受不了，晚上没洗就和衣凑合着睡下了，第二天就跑到附近的东崖去了！', '短评打分': 1}
{'短评内容': '房间不够大，卫浴设备较差，但价格便宜，性价比一般 \n', '短评打分': 5}
{'短评内容': '房间不够大，卫浴设备较差，但价格便宜，性价比一般', '短评打分': 5}
{'短评内容': '出行也不错，房间环境还好，价格是挺适中的。', '短评打分': 3}
{'短评内容': '停车比较方便，但酒店设施比较陈旧，连浴帘都没有，浴缸的水直接从卫生间下水道排出。', '短评打分': 1}
{'短评内容': '客房面积略小，有些拥挤，不过室内的卫生和设施还是可以的.位置很好，去车站和景点都比较近.', '短评打分': 5}
{'短评内容': '金环酒店地理位置不错，停车很方便，酒店卫生很干净，服务热情周到！另外这家餐厅菜烧的不错，价格也很合理.听说是国营企业，此酒店值得推荐，让人住的舒心，放心！', '短评打分': 5}
{'短评内容': '比较好，条件可以，设施齐全，非常非常的好，希望旅客入住。', '短评打分': 5}
{'短评内容': '周边环境很好停车位很多装修比较简单但干净成度可以接受150的价格可以接受', '短评打分': 5}
{'短评内容': '服务态度好，餐厅服务人员也很热情，菜品也不错，我们住了两天，包括早餐，在那里吃了五顿。', '短评打分': 5}
