{'短评内容': '还可以，可以选择！', '短评打分': 5}
{'短评内容': '价格便宜，性价比高，地理位置不错，靠近董永公园，交通方便。', '短评打分': 4}
{'短评内容': '实惠', '短评打分': 4}
{'短评内容': '还马马虎虎的', '短评打分': 4}
{'短评内容': '还好啦', '短评打分': 4}
{'短评内容': '还好啦', '短评打分': 4}
{'短评内容': '可以。实惠。安全', '短评打分': 4}
{'短评内容': '还不错，住过好多次了', '短评打分': 4}
{'短评内容': 'wifi wifi 落后了 该升级了 唯一不足', '短评打分': 4}
{'短评内容': '整体感觉很不错，交通方便，旅游方便', '短评打分': 5}
{'短评内容': '酒店服务太差，客人遗忘的物品，验房时不告诉客人，这是什么行为，再也不住孝感阳光365公园店了差??????????????', '短评打分': 1}
{'短评内容': 'okokokokokokokok', '短评打分': 3}
{'短评内容': '还不错，住的按舒服的，就是没有吹风机，下次有就好了。', '短评打分': 5}
{'短评内容': '房间很潮湿。有一股味道。不过还挺方便的。', '短评打分': 5}
{'短评内容': '跟小旅店差不多，花洒还是坏的，忍了一晚上，再也不会去了。', '短评打分': 3}
{'短评内容': '这是第二次住了，服务环境都还不错。个人出差很适合。', '短评打分': 3}
{'短评内容': '服务还可以，就是小了点', '短评打分': 3}
{'短评内容': '服务好  居住环境舒适  地理位置好 房间虽然有点小但是总体来说还行\n网上订有优惠', '短评打分': 5}
{'短评内容': '装修较新，离汽车站比较近，上网速度一般，没有电吹风。', '短评打分': 5}
