{'短评内容': '有味道，很重', '短评打分': 3}
{'短评内容': '前台和服务员态度挺好', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境很一般。', '短评打分': 3}
{'短评内容': '房间卫生差，还有烟头没清理', '短评打分': 3}
{'短评内容': '有蚊子，设备旧性价比高', '短评打分': 4}
{'短评内容': '房間很不乾淨，太老！地理位置方便，服務人員態度良好！', '短评打分': 2}
{'短评内容': '知道这家宾馆很久了，虽然旧了点，挺干净的', '短评打分': 3}
{'短评内容': '知道这家宾馆很久了，虽然旧了点，挺干净的', '短评打分': 3}
{'短评内容': '性价比高，前台妹子不错！！', '短评打分': 3}
{'短评内容': '性价比高，阿姨服务好，小妹不错！', '短评打分': 3}
{'短评内容': '环境挺安静的，停车也方便，值得一住。', '短评打分': 3}
{'短评内容': '离上班地方较近，地理位置不错，服务态度有待提高，结账麻烦。', '短评打分': 5}
{'短评内容': '同心宾馆，服务态度差，但是方便，顶一个。。', '短评打分': 5}
{'短评内容': '卫生间灯坏了，竟然没修，可见管理一般了！', '短评打分': 5}
{'短评内容': '环境还不错.服务还行', '短评打分': 5}
{'短评内容': '环境还算干净，不过有点吵', '短评打分': 2}
{'短评内容': '一般般，说有免费上网，但是没有。。这个需要矫正', '短评打分': 5}
{'短评内容': '该酒店比较差劲，性价比不高。不怎么好的酒店哦。', '短评打分': 1}
{'短评内容': '房間有蚊，晚上難以入睡，但到早上九点已停电，要下午才有电，為有提早退房', '短评打分': 1}
{'短评内容': '单人间比较脏，卫生条件和一般，设施残旧', '短评打分': 3}
