{'短评内容': '一般，房间小，放住进去时候有异味', '短评打分': 5}
{'短评内容': '服务态度有待提高！', '短评打分': 5}
{'短评内容': '去看女朋友', '短评打分': 5}
{'短评内容': '冲水马桶坏了，其余的还好', '短评打分': 4}
{'短评内容': '快捷酒店，还好了～～', '短评打分': 5}
{'短评内容': '环境卫生，舒适。', '短评打分': 5}
{'短评内容': '第三次入住，安静是我最喜欢的地方！', '短评打分': 5}
{'短评内容': '环境好，经常来住哦  朋友也安排这里', '短评打分': 5}
{'短评内容': '第二次入住，很不错，交通便利，生活便利。干净，安静', '短评打分': 5}
{'短评内容': '不错哦  很干净的  比上次那房间好', '短评打分': 5}
{'短评内容': '第一酒店的位置很不错，特别方便，旁边商场吃喝玩乐的地都有，地铁站就在旁边出行也很方便，最重要的是工作人员真的很好，很贴心', '短评打分': 5}
{'短评内容': '很好，很喜欢，送货很快，信任京东！', '短评打分': 5}
{'短评内容': '很好，很喜欢，送货很快，信任京东！', '短评打分': 5}
{'短评内容': '很好，很喜欢，送货很快，信任京东！', '短评打分': 5}
{'短评内容': '很好，很喜欢，信任京东自营！', '短评打分': 5}
{'短评内容': '很好，很喜欢，信任京东自营！', '短评打分': 5}
{'短评内容': '不错，很干净很方便，位置可以', '短评打分': 5}
{'短评内容': '楼下有饭店，大功率抽油烟机有噪音，总体很好，别住底层', '短评打分': 4}
{'短评内容': '第二次来了，服务很热情，很周到', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务不怎么友好。不太让人满意。', '短评打分': 3}
{'短评内容': '很嗨很卫生', '短评打分': 5}
{'短评内容': '房间不大 但是很干净 卫生做的不错 没发现一点脏的地方 附近也有很多吃的东西 靠近国贸360 很方便购物', '短评打分': 5}
{'短评内容': '一般吧，就是出差为方便', '短评打分': 4}
{'短评内容': '因为距办事地方较近，所以选择这个酒店，房间较干净，也较小。早上起来外面下雪了。热水很大，洗澡很棒，下次再住。', '短评打分': 5}
{'短评内容': '整体都很好', '短评打分': 5}
{'短评内容': '挺好的 卫生方便 楼下也有不少吃的东西', '短评打分': 4}
{'短评内容': '干净，周边吃的很多，就是晚上无线不好', '短评打分': 5}
{'短评内容': '服务很好，很干净，周边小吃很多', '短评打分': 5}
{'短评内容': '周边饭店很多，很干净，就是无线信号不好', '短评打分': 5}
{'短评内容': '比较方便', '短评打分': 4}
