{'短评内容': '厕所外漏在床边，真的是天才设计，一进房间一大股异味，从来没有住过这么差的房间', '短评打分': 1}
{'短评内容': '价格优惠', '短评打分': 5}
{'短评内容': '价格便宜', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '服务不错，比较干净，性价比高。', '短评打分': 5}
{'短评内容': '13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行', '短评打分': 5}
{'短评内容': '13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行13\n还行', '短评打分': 5}
{'短评内容': '就那样', '短评打分': 5}
{'短评内容': '价格还好', '短评打分': 4}
{'短评内容': '下次不会再住了，新房装修好了', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '一般般，性价比高，干净，整洁，小。同朋友送我过来，也要登记一下，看来实名登记很严格，这样也好，比较规范。', '短评打分': 4}
{'短评内容': '房间一股下水道的气味，想换房前台说没房了，让加价升级其他房型，说网上预付的换不了，前台接待人员服务态度是很好，不过房间气味真让人受不了', '短评打分': 4}
{'短评内容': '经济实惠，地理位置方便，隔音效果欠佳，服务员比较热情，房间小，但价格摆在那，网速超慢，咨询总台，意思是我解决不了，就是这样。', '短评打分': 4}
{'短评内容': '离地铁站15分钟，走的慢就20，服务还不错。设备和环境已这个价格来说可以', '短评打分': 5}
{'短评内容': '跟朋友约炮', '短评打分': 5}
{'短评内容': '只是房间小了点，其他可以，', '短评打分': 5}
{'短评内容': '还可以，性价比不错……', '短评打分': 5}
{'短评内容': '被子感觉有点潮～', '短评打分': 3}
{'短评内容': '比较特别的体验。', '短评打分': 3}
