{'descr': '不错 为了考试而住的 这个价格能这样已经很不错了  周边超级超级便利 连市场都有', 'star': 5}
{'descr': '有停车场', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '地理位置好  出行很方便  ', 'star': 5}
{'descr': '。。。。', 'star': 5}
{'descr': '房间不错，订房很方便。', 'star': 5}
{'descr': '还是挺不错，房子不小隔音，淡季人少。家乐福商场500米外。冬季有电热毯很舒服。价格低适合小情旅。推荐一下', 'star': 5}
{'descr': '环境很差，床单都是旧的，还有头发。', 'star': 2}
{'descr': '总体上满意', 'star': 5}
{'descr': '符合我们的要求。', 'star': 5}
{'descr': '大床房不错', 'star': 5}
{'descr': '地理位置方便，价格适中，属于快捷酒店，不能用信用卡支付，但可以用支付宝。卫生尚可，基本满意', 'star': 5}
{'descr': '简直不能更冷。。。。没有暖气。。。。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '还可以吧', 'star': 4}
{'descr': '还行，不错，离中心区挺进的。', 'star': 3}
{'descr': '一般般 价格便宜 不好意思给差评', 'star': 3}
{'descr': '酒店地理位置很偏，外出乘车很不方便，不过很干净，也很安静。在旅游城市，这个价位还算物有所值。', 'star': 1}
{'descr': '房间较小，但是还算精致，卫生间相对宽敞。离码头很近，公交1站路，打车起步价。附近有一巷子几家小菜馆不错，吃海鲜物美价兼，还有个农贸市场，水果，蔬菜，海鲜（生的）都很多，便宜，但外出游玩的人，买生的海鲜和蔬菜也用不上，呵呵。', 'star': 5}
{'descr': '坑爹的酒店，外貌一般，里面更是脏差，图片都是骗人的，实在不值那个价格！打对折都不会再想去。\n客观的说周边小食就餐还挺多，便利店也OK.离38广场近，步行五分钟，家乐福和屈臣氏也是。交通还算便利', 'star': 1}
{'descr': '房间虽然不大，但是在这个位置、这个季节，性价比可以了', 'star': 5}
{'descr': '条件很一般，不过地段好，价格偏宜。', 'star': 3}
{'descr': '网上预定竟然和门是一样价，有会员卡更便宜，那网上预定有啥优势呀，房子太一般，跟100元的没两样，不合适', 'star': 3}
{'descr': '酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。', 'star': 5}
{'descr': '小巧，干净，交通便利，可洗澡满意', 'star': 3}
{'descr': '因为工作原因，会经常选择四季~因为这个价格在旅游旺季的大连还是比较便宜的~虽然是特价房但是还是很不错的~这次住的是7楼，最顶楼最边上的房间，房间四面，有两面是窗户，阳光晒得很舒服~呵呵~服务员的态度也很好~就是这屋的卫生间有点太小了~洗澡的时候得自己拿着喷头~其他都很好，房间也很干净~以后有机会还回去~', 'star': 5}
{'descr': '很温馨 大床很大环境很清静 交通也蛮方便的 ', 'star': 5}
{'descr': '电视频道挺多的，就是各种设施有点旧…', 'star': 3}
{'descr': '卫生环境较差。', 'star': 3}
{'descr': '非常一般，尤其对热水器特别不满意，竟然不是太阳能的。。。不方便。。环境一般', 'star': 1}
{'descr': '除了有点不好找，总体还不错，干净卫生，也挺安静', 'star': 5}
{'descr': '整体上性价比还可以，就是房间稍微小了点，房间改造的有些地方不够到位。', 'star': 3}
{'descr': '很好,很干净', 'star': 3}
{'descr': '越来越差，有的房间空调还不好用，有的房间电视坏了。哎，以前去不是这样的。晚上还看见老鼠。', 'star': 1}
{'descr': '酒店卫生情况一般，房间也比较小，不过价格也确实是不贵。', 'star': 5}
{'descr': '房间取暖很不好，建议冬天不要住!', 'star': 3}
{'descr': '距离工作地点十分便利~中国移动~房间整洁且有风格。', 'star': 5}
{'descr': '地址在旮旯胡同就算了，空调没温度，暖气没有一点温度，客房服务态度极差，穿着睡衣就出来，住进第一晚就把我冻感冒了，喊人加被子结果那哥们睡眼惺忪的出来及其不情愿，态度很恶劣，尤其出租车司机跟我说那句：这么小的旅馆也号称酒店？我真心凉了！', 'star': 1}
{'descr': '同学推荐去的，隔音很好，很温馨，如果暖气也有的话就更好了', 'star': 5}
{'descr': '整栋大楼没有暖气 有空调但是感觉不制暖  洗个澡能冻死  还有就是床单等有些陈旧  ', 'star': 5}
{'descr': '非常好的酒店，很有感觉。属于半自助型！就是冷点儿！', 'star': 5}
{'descr': '房间不是很大，卫生真的很一般，主要是这个季节室内的空调根本不给力，很冷。希望改进下卫生，还有就是取暖问题。价格还是比较合理。', 'star': 1}
{'descr': '房间太小，空调取暖，不怎么好使，很冷。。', 'star': 1}
{'descr': '＋入住四季时尚酒店，房间布置紧凑，时尚简约。但没有暖气，只提供被事先预定温度的空调，一夜就已感冒。', 'star': 3}
{'descr': '环境很好，很喜欢圆床，就是房间开了空调还是很冷！', 'star': 3}
{'descr': '这次很失望，因为半年前我住过这个房间，空调调温不好用，到现在还是一样，晚上睡觉特别冷，而且厕所的冲水也坏了，造成很大不便，望尽快改进。房间有不好用的设施请及时检查并修理，不然会使顾客住宿心情很差。这次真不满意。', 'star': 5}
