{'短评内容': '很好', '短评打分': 4}
{'短评内容': '设施有点陈旧了，入住时门锁还是坏的。', '短评打分': 4}
{'短评内容': '住过最满意的酒店，无需过多解释', '短评打分': 5}
{'短评内容': '都可以哦，挺好', '短评打分': 5}
{'短评内容': '总体满意房间干净', '短评打分': 5}
{'短评内容': '还可以啦 还可以啦 还可以啦', '短评打分': 5}
{'短评内容': '酒店位于衢州西区，很新，房间很大，设施齐全，自助早餐很美味，周边交通很方便，空气也不错，下次还会考虑入住', '短评打分': 5}
{'短评内容': '离政府近!', '短评打分': 5}
{'短评内容': '不错就是一点点吵', '短评打分': 4}
{'短评内容': '房间环境好，也很卫生，还送了水果', '短评打分': 5}
{'短评内容': '一直都很棒', '短评打分': 5}
{'短评内容': '好样的！太好了！特别好！真的很不错！', '短评打分': 5}
{'短评内容': '宾馆设施比较新，服务也不错。早餐种类还可以。只是交通有些不便，自驾还好。主要问题是空调，一直热不起来。后来才发现对着房间的出风口根本没风，而对着门的出风口倒是呼呼直响，所以房间一直不热。不知道是这一个房间的问题还是所有房间的问题。', '短评打分': 4}
{'短评内容': '位置有点偏，离市中心有点距离。离高速衢州西出口较近。附近没有商业区。', '短评打分': 4}
{'短评内容': '遗憾的是酒店携程价高于当地大客户的协议价，为了携程不爽约，多付了40元房费。环境、服务、早餐均相当不错，空调好像不怎么给力。', '短评打分': 5}
{'短评内容': '环境不错，前台接待好，就是空调没有，说是在检修，总体感觉不错！', '短评打分': 5}
{'短评内容': '很好，大堂很好，房间显小了些，其它都还过的去', '短评打分': 5}
{'短评内容': '酒店很新，服务、位置也不错，我们的一个包丢在餐厅，服务员也很主动送回，很感动！', '短评打分': 5}
