{'短评内容': '虽然是连锁，设施是简陋的，环境有点吓人，在一个比较偏的小巷子里，不过周边是小区让人安心一点，靠近浙大，别的没什么好评了。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '还不错，方便快捷', '短评打分': 4}
{'短评内容': ' 周围环境挺安静，但房间隔音差点。', '短评打分': 4}
{'短评内容': '交通便利，其他尚可', '短评打分': 3}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '整体感觉还行吧，房间偏紧凑，设备还可以，就是床单脏了，后来打电话给换了。', '短评打分': 4}
{'短评内容': '我的返现呢？？？', '短评打分': 4}
{'短评内容': '在小区里面，没有明显标志，比较难找', '短评打分': 4}
{'短评内容': 'Room was nice if a bit small.  Staff was friendly but spoke zero english.', '短评打分': 4}
{'短评内容': '房间太小 其他还行', '短评打分': 4}
