{'短评内容': '还算可以', '短评打分': 4}
{'短评内容': '房间设备比较简陋', '短评打分': 3}
{'短评内容': '房间设备比较简陋', '短评打分': 3}
{'短评内容': '房间设备比较简陋', '短评打分': 3}
{'短评内容': '早餐一般般，酒店位置还不错。环境好！服务还可以，交通也方便', '短评打分': 5}
{'短评内容': '酒店直通妈祖祖庙，游览很方便。酒店外夜景很漂亮！', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '妈祖庙很近，设施稍差点，，', '短评打分': 3}
{'短评内容': '这环境怎么评上三星的，除了前台接待的很好，其他的一踏糊涂的！还有就是去拜玛祖很近，很方便，希望有所改变！', '短评打分': 3}
{'短评内容': '酒店的设施还okay！就是离海滩有点远，如果是想看海的朋友建议住在靠近沙滩的酒店or旅馆！整个酒店总体感觉还不错……', '短评打分': 4}
{'短评内容': '处在旅游区里，价格便宜，出差够了', '短评打分': 5}
{'短评内容': '服務好，方便', '短评打分': 5}
{'短评内容': '各方面都不错，就是房间有味道', '短评打分': 5}
{'短评内容': '国庆第三天当晚自驾到达湄洲岛     马上下单定    还好有房  算是湄洲岛上比较正规的酒店了   海景房   在码头和妈祖庙中间   挺满意的    早餐也还行', '短评打分': 3}
{'短评内容': '环境很好！卫生不错！在房间可以看到大海～值得推荐！', '短评打分': 3}
{'短评内容': '服务态度极差 房间空调不顶用 打电话叫前台服务半小时没人来 下次不去了', '短评打分': 1}
{'短评内容': '大厅还不错，就是这段时间没有水，最后经店家价绍换了一家酒店。', '短评打分': 3}
{'短评内容': '酒店位置方便，离码头最近，可步行，紧挨祖庙山，方便，门口就有岛上的中巴车。房间设施尚可，整个酒店的走廊和大厅还不错', '短评打分': 3}
