{'短评内容': '还不错，就是停车要收费', '短评打分': 4}
{'短评内容': '还可以吧，价格不高', '短评打分': 5}
{'短评内容': '这种价格还好，周边吃饭方便，早餐还可以，就是设施太老了，另外客房内的防毒面具什么的竟然过期了。房间内还有异味。', '短评打分': 4}
{'短评内容': '不错，接待朋友一直都选这家酒店', '短评打分': 5}
{'短评内容': '商务入住', '短评打分': 5}
{'短评内容': '服务还不错，就是设施比较老旧了。', '短评打分': 4}
{'短评内容': '地方很不错，很好找。本来是先定一天不满意就换的，结果房间很好，干净卫生，就直接续了一天。很赞！', '短评打分': 5}
{'短评内容': '信誉度非常好，在携程预订的房间已满，立即免费升级到行政套房，住得很开心。', '短评打分': 5}
{'短评内容': '很好，出差不错的选择，下次还会继续购买，真的很好。在火车站旁边，交通便利，出门方便。附近就有吃饭的地方，还是不错的。', '短评打分': 5}
{'短评内容': '很好，下次还会继续预订，真的很不错啦，价格比较优惠，还会继续购买，所以出差是不错的选择，所以好使来这个酒店。', '短评打分': 5}
{'短评内容': '不错，老四星，客人满意。', '短评打分': 5}
{'短评内容': '不错，老四星，客人满意。', '短评打分': 5}
{'短评内容': '不错，老四星，客人满意。', '短评打分': 5}
{'短评内容': '还可以，酒店挺高档的，附近吃饭方便。', '短评打分': 4}
{'短评内容': '酒店一直住不错', '短评打分': 4}
{'短评内容': '周边环境一般，房间还可以！', '短评打分': 3}
{'短评内容': '这次来这出差住了这，感觉一般', '短评打分': 5}
{'短评内容': '地理位置不错, 但刚好附近有施工,所以空气不是很好. 酒店服务蛮不错的,设施也很棒.', '短评打分': 5}
{'短评内容': '房间很不错，外国友人很喜欢。特别喜欢房间号的设计，特别有创意。朋友住的希望多住几天，哈哈。就是其他的配套门童服务要提高哦。', '短评打分': 5}
{'短评内容': '房间很好，性价比高！风景也好！早餐也还可以，唯一就是我们晚上6点多入住的时候没有门童拿行李。希望提高，下次行李不多的时候会很高兴再次入住的。', '短评打分': 5}
{'短评内容': '感觉还可以，赠送水果，不错，但是还是感觉没有以前好了，自助餐晚餐没有以前丰富和便宜，订了座位，还是被别人抢了，早餐东西也不错，而且会员卡也没有积分，听说是私人开的，感觉很不爽！', '短评打分': 1}
{'短评内容': '温州火车站旁边，环境卫生挺好的，早餐也很好。', '短评打分': 5}
{'短评内容': '环境很舒适，交通还蛮便利的旁边就有一个公交车站，周边也有一些吃饭的地方，总得来说还不错哦。', '短评打分': 5}
{'短评内容': '交通很方便，就是临火车站，睡眠不好的话会有影响，不过我睡得很好。', '短评打分': 5}
{'短评内容': '重新装修了，但是不是很彻底；比以前是新一点；在温州算是性价比比较高的酒店，也没有骚扰电话和小广告。', '短评打分': 5}
{'短评内容': '设施和服务都不错', '短评打分': 3}
{'短评内容': '综合性评价一般，三星说得过去，四星有差距。', '短评打分': 3}
{'短评内容': ' 房间可以 就是退房时间十二点 不是很习惯', '短评打分': 3}
