{'descr': '干净利落，服务态度很好。', 'star': 5}
{'descr': '满意，很好，舒服，下次还来', 'star': 5}
{'descr': '服务态度很好', 'star': 5}
{'descr': '很不错……以后出差还会再来的，前台工作人员也非常有耐心，而且他们很敬业………………谢谢……', 'star': 5}
{'descr': '环境好干净卫生', 'star': 5}
{'descr': '因为我小心翼翼小心翼翼', 'star': 5}
{'descr': '环境真的差，设施真脏，还有股难闻的味道。', 'star': 1}
{'descr': '有蟑螂', 'star': 3}
{'descr': '服务态度很好', 'star': 5}
{'descr': '非常好，很喜欢，经常过来。', 'star': 5}
{'descr': '电梯总是坏掉', 'star': 3}
{'descr': '闹市区，周围环境便利，出行方便', 'star': 4}
{'descr': '入住3730，开始入住的房间很差很旧。给携程打电话免费升级到3730房间。房间跟网上照片完全不一样。', 'star': 3}
{'descr': '定了一天，房间异味很重，冬天入住房间比较冷，电视基本是废的，周围环境不好，当天下午我就退房了，晚上没住', 'star': 1}
{'descr': '服务还好', 'star': 4}
{'descr': '服务态度不好 我定了两天房住了一天 今天我出去办事告诉前台如果12点前回不来让她们把我的东西拿出来放一个地方把房给退了 服务员一百个不行 你们怎么为客户服务的 这么点事都不行 你们还能干吗  以前我来大连多次一直住你们家 10月20多号到11.11就住你们家好几次 你们这是不想让我再来住了', 'star': 2}
{'descr': '住在37楼，风景超棒，能看到海。值！', 'star': 5}
