{'短评内容': '～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '老板娘特别热情！给我们免费升了河景房，还介绍附近的景点给我们，并帮我们订了去西江千户苗寨的车和景点的门票。真的好开心啊！下次来就这了！', '短评打分': 5}
{'短评内容': '妈妈强烈要求我来给好评！老板处可以订去西江的直通车！还有临河阳台的观景房，推荐入住！', '短评打分': 5}
{'短评内容': '环境还不错，卫生', '短评打分': 5}
{'短评内容': '客栈地理位置满分！特别方便！而且老板特别热情，住过这么多家宾馆客栈，顺城客栈无论是服务，位置，价格，通通满分。', '短评打分': 5}
{'短评内容': '老板人很好', '短评打分': 5}
{'短评内容': '还不错，地点不错，老板娘热情', '短评打分': 4}
{'短评内容': '非常不错，下次还会选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '特别棒。很温馨', '短评打分': 5}
{'短评内容': '酒店地理位置优越，临江且有一个超大的景观阳台，是摄影爱好者的最佳选择，无论是白天还是晚上拍夜景都十分理想。老板服务热心周到，问寒问暖，介绍景点和吃的地方。就是房间设施相对于这样高的价位实在是不相称，房间冷，开空调也上不去。看起来这里主要的卖点是这个位置优势，不可能两全其美。要住好的就只有去对面位置差的地方喽！', '短评打分': 5}
{'短评内容': '环境不错  值得住宿', '短评打分': 5}
{'短评内容': '老板超级好人，免费帮我们换了个大阳台房，还帮忙订夜游船票（比自己去买平20元），而且还亲自送到码头，觉得很窝心。客栈地方很好找，就在博物馆对面街的中央，在火车站坐1路车可到达，坐在阳台上一边喝茶一边欣赏两边的美好景色。唯一不是很完美的就是对面河的酒吧要到零时左右才歇息，不过对我们影响不大。', '短评打分': 5}
{'短评内容': '环境还是相当不错的，老板娘和老板也是很棒的，对面就是博物馆。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行便利。服务非常热情。早餐不错。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行便利。服务非常热情。早餐不错。', '短评打分': 5}
