{'短评内容': '1肉玉兔精外婆诺克YY了', '短评打分': 5}
{'短评内容': 'Tim咯lz了在下楼哦聚聚UK', '短评打分': 5}
{'短评内容': '把Ctrl婆婆回眸木木木斗鱼', '短评打分': 5}
{'短评内容': '不错，挺实惠的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体感觉还不错', '短评打分': 4}
{'短评内容': '屋里空间大，环境很不错，就是有些房间会临着大马路会吵一点，宾馆里面可以点餐，味道不错，有早餐。整体很不错。', '短评打分': 4}
{'短评内容': '连续住了三天，今天是最后一天，总体感觉不错，只是早餐品种少了点，由于人太多都来不及了也不够吃了。最后感谢工作人员的辛苦付出！', '短评打分': 5}
{'短评内容': '周边的环境和房间卫生都可以的，交通也是很方便的性价比高，特别是服务态度非常热情周到，值得下次再来住。', '短评打分': 5}
{'短评内容': '春风十里不如你', '短评打分': 5}
{'短评内容': '很舒适  服务很好', '短评打分': 5}
{'短评内容': '该酒店位置还好，就是靠马路噪音有一点，停车挺方便的；酒店内部设施还算可以，比普通快捷要好一点，商务之选在桐城这个价位还是可以的~~~', '短评打分': 4}
{'短评内容': '地方稍微有点偏，距离市中心远了点，房间很大，空调不是很暖！床的话弹簧有点硬，睡起来能感觉的到，卫生还是不错的！', '短评打分': 4}
{'短评内容': '地方稍微有点偏，距离市中心远了点，房间很大，空调不是很暖！床的话弹簧有点硬，睡起来能感觉的到，卫生还是不错的！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '靠路边车来车往  休息不好  房间装了两层窗户 还是很吵  关键是房间没有无线网  去过道里信号才能强点 ', '短评打分': 3}
{'短评内容': '房间和环境都不错，可以住。', '短评打分': 3}
{'短评内容': '还不错  已经住了两次了', '短评打分': 3}
{'短评内容': '很卫生干净，适合有车族住宿', '短评打分': 3}
{'短评内容': '挺卫生，还不错，只是稍微偏点，带车无所谓。', '短评打分': 3}
{'短评内容': '还好……………………………………', '短评打分': 3}
{'短评内容': '干净卫生，床很大，有蚊子，早餐比较简单，总体还是很不错的。', '短评打分': 5}
{'短评内容': '干净卫生，床很大，有蚊子，早餐比较简单，总体还是很不错的。', '短评打分': 5}
{'短评内容': '住了两天套房，，环境还不错，，价格也便宜，套房才400多，不过早餐真的超级简陋。。', '短评打分': 5}
{'短评内容': '酒店位置好，交通方便，出门周边就有餐厅，房间设置整洁，适合商务客出行。', '短评打分': 5}
