{'短评内容': '有停车位，环境好，漂亮', '短评打分': 5}
{'短评内容': '环境好，离湖很近。工作人员态度很好，酒店老旧，房间干净整洁。但洗手间有些堪忧，且是浴缸。带老人的就不要定这了，房间都在山上，需要爬楼。', '短评打分': 4}
{'短评内容': '酒店比较老旧，疏于管理。但酒店环境很好依山傍水，酒店服务人员态度很好，会及时回复处理提出的问题。房间都有露台，还是不错。唯一不满的就是卫生间。', '短评打分': 4}
{'短评内容': '携程网订的，商务标间价格409过贵，同样的一般标间268（在携程网上故意不显示信息，直到深夜还有一般标间）。房间厕所锁损坏，无法上锁。打电话到服务台把保险柜的使用说明送来，结果没有保险柜，服务员说是忘记放置了。综合起来，409的价格，硬件和软件均不匹配！价格虚高，而设施和服务偏低，携程涉嫌故意隐瞒一般标间信息！', '短评打分': 3}
{'短评内容': '早歺不错，有停车场。', '短评打分': 4}
{'短评内容': '好差的酒店。四星变成了二星。价格按四星收。入住率相当低。一人可以住整栋楼', '短评打分': 2}
{'短评内容': '早饭之简陋难吃', '短评打分': 5}
{'短评内容': '感觉还行。', '短评打分': 4}
{'短评内容': '周边环境不错，就是服务一般。', '短评打分': 4}
{'短评内容': '安全安静卫生', '短评打分': 5}
{'短评内容': '环境很好，周围环境也好，唯一就是房间没有空调。', '短评打分': 5}
{'短评内容': '干净、整洁，服务员热情，餐饮可口，晚上篝火晚会不错。只是热水不热、空调也不起作用！', '短评打分': 4}
{'短评内容': '由于晚上才到，在网上随便选了间比较好的。冲凉房洗手间是我住过最奇葩的设计，三尖八角的，很不舒服', '短评打分': 3}
{'短评内容': '晚上很迟到达酒店，总台也很热情的接待。环境很好。一场愉快的旅行有假日酒店掀开序幕。非常感谢。', '短评打分': 5}
{'短评内容': '泸沽湖景区唯一一家四星级酒店，外观很气派，景色也很美，就是内部设施老旧，早餐还行。', '短评打分': 4}
{'短评内容': '环境优美', '短评打分': 3}
{'短评内容': '还比较干净，就是晚上篝火晚会到十点有点吵，房间空调坏了。服务员态度很好', '短评打分': 5}
{'短评内容': '酒店风景太差', '短评打分': 3}
{'短评内容': '很不错，就是刚装修有点味。如果我下次在去肯定要住这个酒店。', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 3}
